row index,Project,State/ Province,Country,Principal Deposit type,Total Mineral Resource Mt (Tonnes of Million),Column 6,Column 7
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Tb ppm,23.423321564221897
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Dy ppm,156.91487935656838
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Ho ppm,36.2020171492087
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Er ppm,100.93667886646448
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Tm ppm,13.458011195770485
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Yb ppm,76.40316686967113
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Lu ppm,10.45581394180027
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Y ppm,1007.7341471666697
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,La ppm,66.48341231354735
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Ce ppm,163.04360467950275
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Pr ppm,0.0020576562567305623
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Nd ppm,124.97542082738944
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Sm ppm,163.70923606331726
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Eu ppm,38.05908842918845
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Gd ppm,521.558124137931
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Tb ppm,113.36717594821589
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Dy ppm,840.8351206434314
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Ho ppm,201.23677340814058
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Er ppm,604.780537488236
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Tm ppm,87.06991758668946
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Yb ppm,515.0363824604141
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Lu ppm,69.55886314519776
21,Gambit (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.11,Y ppm,5268.50691176731
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,La ppm,187.03522497084276
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Ce ppm,458.59162076529367
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Pr ppm,62.88018737884989
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Nd ppm,303.64646219686165
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Sm ppm,179.93011011699932
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Eu ppm,35.114194135030694
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Gd ppm,476.22674482758623
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Tb ppm,102.79904937677206
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Dy ppm,790.5951742627348
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Ho ppm,191.48571163923145
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Er ppm,591.382946774025
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Tm ppm,87.13120976519983
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Yb ppm,529.0348477466505
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Lu ppm,73.3929547167915
22,Gambit West (Browns Range),Western Australia,Australia,Granite -Related Skarn,0.39,Y ppm,4748.635246311091
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,La ppm,156.19381130685653
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Ce ppm,388.4120935900561
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Pr ppm,52.67467585612751
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Nd ppm,247.73888730385164
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Sm ppm,160.93245698554713
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Eu ppm,33.42152761991362
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Gd ppm,436.48262068965516
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Tb ppm,94.32244262558177
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Dy ppm,645.1729222520107
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Ho ppm,138.13858677817183
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Er ppm,399.35664331276786
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Tm ppm,55.72334629140102
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Yb ppm,327.0231181485993
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Lu ppm,44.61968035382218
23,Wolverine (Browns Range),Western Australia,Australia,Granite -Related Skarn,4.46,Y ppm,3854.5829160540625
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,La ppm,2.322
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Ce ppm,4.946400000000001
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Pr ppm,0.5724
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Nd ppm,2.0088
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Sm ppm,0.3348
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Eu ppm,0.0864
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Gd ppm,0.1944
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Tb ppm,0.032400000000000005
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Dy ppm,0.06480000000000001
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Ho ppm,0.0108
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Er ppm,0.0216
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Yb ppm,0.0108
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Lu ppm,0.0108
86,North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,Y ppm,0.22680000000000003
108,Milo,Queensland,Australia,IOCG,187.2,La ppm,127.90190902952551
108,Milo,Queensland,Australia,IOCG,187.2,Ce ppm,221.979039727029
108,Milo,Queensland,Australia,IOCG,187.2,Pr ppm,20.507185737675094
108,Milo,Queensland,Australia,IOCG,187.2,Nd ppm,68.58773181169758
108,Milo,Queensland,Australia,IOCG,187.2,Sm ppm,10.348245010323467
108,Milo,Queensland,Australia,IOCG,187.2,Eu ppm,3.454421459422596
108,Milo,Queensland,Australia,IOCG,187.2,Gd ppm,8.675862068965518
108,Milo,Queensland,Australia,IOCG,187.2,Dy ppm,6.970509383378016
108,Milo,Queensland,Australia,IOCG,187.2,Er ppm,4.372581825786887
108,Milo,Queensland,Australia,IOCG,187.2,Y ppm,40.94655731316316
109,Olympic Dam,South Australia,Australia,IOCG,9576.0,La ppm,1705.35878706034
109,Olympic Dam,South Australia,Australia,IOCG,9576.0,Ce ppm,2561.2966122349503
110,Korella ,Queensland,Australia,Sedimentary Undifferentiated,13.72,Y ppm,551.2036561387348
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,La ppm,3208.1006885293527
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Ce ppm,2028.7497918692675
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Pr ppm,59.2204208596228
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Nd ppm,152.7944520557619
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Sm ppm,17.076311898223548
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Eu ppm,5.985383716821328
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Gd ppm,34.359849778081255
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Tb ppm,43.01001356900573
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Dy ppm,284.68664560826056
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Ho ppm,60.50278981214164
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Er ppm,329.0259591681222
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Tm ppm,60.685325257762905
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Yb ppm,565.1764932887929
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Lu ppm,52.240324801440295
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Y ppm,1247.4198724497535
112,Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,Sc ppm,193.649099813398
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,La ppm,10062.370360263936
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Ce ppm,17741.573801235372
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Pr ppm,1630.8250658654842
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Nd ppm,4994.703370279998
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Sm ppm,540.8229143783404
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Eu ppm,122.01959264658224
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Gd ppm,249.737557075121
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Tb ppm,26.17953999908446
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Dy ppm,105.27372568864983
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Ho ppm,14.52355980584377
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Er ppm,29.09861240190677
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Tm ppm,1.7923698720061711
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Yb ppm,14.651832917206468
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Lu ppm,0.19738619247910766
113,Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,Y ppm,373.6227224482518
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,La ppm,1612.1907813630887
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Ce ppm,4641.180612494234
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Pr ppm,609.4541626199234
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Nd ppm,2262.532192014982
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Sm ppm,446.12035652012446
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Eu ppm,52.59220911101867
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Gd ppm,368.9756460787892
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Tb ppm,47.42512047810635
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Dy ppm,215.88664944724982
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Ho ppm,35.6534807328324
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Er ppm,87.35478600266353
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Tm ppm,11.63048512760541
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Yb ppm,71.26234569999808
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Lu ppm,10.120332480964809
118,Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,Y ppm,836.1410587759934
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,La ppm,3417.4531033745
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Ce ppm,7427.522313265561
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Pr ppm,952.1393452342944
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Nd ppm,3470.765610578681
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Sm ppm,494.85573809371766
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Eu ppm,93.41279354704422
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Gd ppm,223.41279354704423
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Tb ppm,19.999999999999996
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Dy ppm,59.99999999999999
119,Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,Er ppm,40.984924500185336
