Deposit,Country,Primary Deposit Type,Secondary Deposit Type,Mt ore,%Pb,%Zn
Bracemac-McLeod,Canada,VMS,,5.88,,8.869387755
Brandywine-Silver Tunnel-Northair,Canada,VMS,,0.496568,1.719924018,0.2643362238
Buckton-Buckton South,Canada,Shale-hosted,,5008.748,,0.01724769924
Cadieux,Canada,Sediment-hosted Pb-Zn,,1.25,0.7,9.4
Caledonia,Canada,Skarn,,0.068,0.6,7.45
Caribou,Canada,VMS,,10.89,2.891157025,6.978484848
Cassiar Camp,Canada,Skarn-Manto,,0.905063,6.093352617,3.485742009
Chester,Canada,VMS,,4.014,,0.02151469856
Chu Chua,Canada,VMS,,2.827047,,0.32
Cirque-South Cirque,Canada,Sediment-hosted Pb-Zn,Sedex,54.0,2.0,7.7
CK,Canada,Sediment-hosted Pb-Zn,Sedex,1.490365,1.4,8.6
Clark,Canada,Skarn-manto,,0.327373,5.64,4.6
Clear Lake,Canada,Sediment-hosted Pb-Zn,,9.205,0.97,6.6
Colby (Kingfisher-Noreen),Canada,Sediment-hosted Pb-Zn,Sedex,1.8,0.58,2.6
Comstock (Canada),Canada,Epithermal?,,0.043355,6.0,10.0
Copper Crown,Canada,Epithermal,Low sulfidation?,0.317485,,4.23
Cottonbelt,Canada,Sediment-hosted Pb-Zn,Sedex,1.0,6.0,2.0
Coulon,Canada,VMS,,13.733,0.2461967523,3.837042889
Craig,Canada,Sediment-hosted Pb-Zn,MVT,0.87498,13.5,8.5
Cronin,Canada,Epithermal?,,0.160331,7.11,8.12
Damascus,Canada,Epithermal,High sulfidation?,0.196,2.31,4.69
Darcy,Canada,Mesothermal Vein,,5.55,,4.7
Darin,Canada,Mesothermal Vein,,0.36,0.2,4.0
DEB,Canada,VMS,,1.015,,2.96
De Maurès,Canada,VMS,,0.35,,7.84
Domergue-Anomaly E,Canada,VMS,,0.03,,5.51
Driftpile Creek,Canada,Sediment-hosted Pb-Zn,Sedex,2.44,3.1,11.9
Duck Pond,Canada,VMS,,1.7,,4.382352941
Duncan,Canada,Sediment-hosted Pb-Zn,Sedex,2.76,3.3,3.1
Duthie,Canada,VMS,,0.07503,1.31280821,7.131280821
East Kemptville,Canada,Skarn (Greisen),,80.36,,0.1200522648
Eclipse,Canada,Sediment-hosted Pb-Zn,MVT,1.0,,13.0
Ecstall,Canada,VMS,,6.3497,,2.5
Ericksen-Ashby,Canada,Skarn,,0.9071,2.23,3.79
Errington,Canada,VMS,,9.0,1.151111111,4.032
Esker,Canada,Sediment-hosted Pb-Zn,MVT,1.9,1.2,3.5
Estrades-Caribou,Canada,VMS,,0.7907,0.8520462881,9.288280005
Explo-Zinc (Kistabiche),Canada,VMS,,0.587961,,7.63
Faro,Canada,Sediment-hosted Pb-Zn,Sedex,4.417,3.4,14.12836767
Fault Creek,Canada,VMS,,0.05,1.0,7.1
Fireweed,Canada,Sediment-hosted Pb-Zn,Sedex,0.580544,1.34,2.22
Gayna River,Canada,Sediment-hosted Pb-Zn,MVT,50.0,0.2,4.7
George Lake,Canada,VMS,,2.63088,0.53,3.67
Goz Creek (Barrier Reef),Canada,Sediment-hosted Pb-Zn,MVT,2.494758,,11.0
GP4F,Canada,VMS,,1.5,3.1,6.4
Gray Rock,Canada,Epithermal?,,0.070488,2.1,
Grizzly (Dy),Canada,Sediment-hosted Pb-Zn,Sedex,17.24,4.85,6.39
Groundhog (Jeff-Lorne),Canada,Epithermal?,,0.20095,3.18,4.01
Grum,Canada,Sediment-hosted Pb-Zn,Sedex,18.649,2.681797415,4.425205641
H.B.,Canada,Sediment-hosted Pb-Zn,Sedex,6.45,0.77,4.1
Hackett River,Canada,VMS,,87.0,0.5310344828,3.810344828
Halfmile Lake,Canada,VMS,,12.3403,2.210588397,7.420729723
Hart River,Canada,VMS,,0.523849,0.87,3.65
High Lake,Canada,VMS,,13.9,0.3431654676,3.845323741
Holliday,Canada,Epithermal?,,0.036287,14.95,20.78
Homestake,Canada,VMS,,0.249906,1.24,2.19
Horne 5,Canada,VMS,,67.6178,,0.72
Howard's Pass-Anniv Group,Canada,Sediment-hosted Pb-Zn,Sedex,97.95,1.355440531,4.407036243
Howard's Pass-Brodel,Canada,Sediment-hosted Pb-Zn,Sedex,12.1,1.16,4.31
Howard's Pass-Don Group,Canada,Sediment-hosted Pb-Zn,Sedex,130.1617,1.685910571,5.285875092
Howard's Pass-HC Group,Canada,Sediment-hosted Pb-Zn,Sedex,57.87,1.314810783,4.691866252
Howard's Pass-HP,Canada,Sediment-hosted Pb-Zn,Sedex,6.18,1.23,4.55
Howard's Pass-OP Group,Canada,Sediment-hosted Pb-Zn,Sedex,3.15,1.101619048,3.51847619
Howard's Pass-Pelly North,Canada,Sediment-hosted Pb-Zn,Sedex,6.85,0.9,3.2
Howard's Pass-XY Group,Canada,Sediment-hosted Pb-Zn,Sedex,109.3014,1.821935355,4.798740327
Hudson Bay Mountain-Silver Lake 2,Canada,Epithermal,,0.03,6.7,17.7
Hudson Bay-777,Canada,VMS,,11.384,,4.158359979
Hudson Bay-Bur,Canada,VMS,,1.05,,8.572438095
Hudson Bay-Lalor,Canada,VMS,,25.309,,5.011759058
Hudson Bay-Reed,Canada,VMS,,2.354,,0.5019796092
Hudson Bay-Watts River,Canada,VMS,,6.62,,2.63
Hudvam,Canada,VMS,,1.357,,1.613198231
Indian Mountain (BB Lake-Kennedy Lake),Canada,VMS,,0.9189936,0.7169792695,9.406614018
Inel (AK),Canada,Skarn?,,0.317485,0.1,2.6
Izok Lake,Canada,VMS,,14.2,1.391549296,12.83098592
J&L (Main Zone-Yellowknife-Yellowjacket),Canada,Sediment-hosted Pb-Zn,Sedex,7.1986,2.1249411,3.284414331
Jason,Canada,Sediment-hosted Pb-Zn,Sedex,12.46,4.365425361,6.57423756
Jersey,Canada,Sediment-hosted Pb-Zn,Sedex,7.88,1.63,3.49
Jonpol,Canada,VMS?,,2.5465104,,0.96
Jubilee,Canada,Sediment-hosted Pb-Zn,MVT,3.464892,0.86,3.62
Keg Main Zone,Canada,Skarn-epithermal,Original skarn with epithermal overprint,63.97,0.21,0.64
Kennedy Lake-BB Zone,Canada,VMS,,0.918964,0.7169756378,9.406633992
Keno Hill-Bellekeno,Canada,Mesothermal Vein,,0.608,4.820394737,5.220065789
Keno Hill-Flame/Moth,Canada,Mesothermal Vein,,1.485,1.659474747,5.592639731
Keno Hill-Lucky Queen,Canada,Mesothermal Vein,,0.274,1.913065693,1.282043796
Keno Hill-Onek,Canada,Mesothermal Vein,,0.821,1.178258222,13.1018514
Kidd Creek,Canada,VMS,,21.47,,4.927293898
Kitsault (Mo),Canada,Porphyry,Porphyry Mo,639.6,0.0236496873,
Kitsault River-Torbrit,Canada,Porphyry,Porphyry Mo,0.786285,0.42,0.5
Kitsault River-Wolf,Canada,Porphyry,Porphyry Mo,0.485324,0.59,0.12
Klaza-BRX,Canada,Epithermal,Low sulfidation,9.06,0.69,0.84
Kokanee (Scranton/Sunset),Canada,Epithermal?,,0.017935,8.2,8.0
Kootenay King,Canada,Sediment-hosted Pb-Zn,Sedex,0.01,5.36,15.6
Kudz Ze Kayah (ABM),Canada,VMS,,12.8,1.6875,5.95859375
Kutcho,Canada,VMS,,12.37,,3.171397736
La Ronde,Canada,VMS,,38.905,0.05573705179,0.7385690785
Lafontaine,Canada,Sediment-hosted Pb-Zn,Sedex,0.03,,12.03
Langlois,Canada,VMS,,5.71,0.2405604203,9.864290718
Lara-Coronation Trend,Canada,VMS,,1.8163,0.5283873809,2.733503826
Leitch,Canada,Sediment-hosted Pb-Zn,Sedex,0.127,,8.0
Lemarchant-South Tally Pond,Canada,VMS,,3.79,0.872348285,3.857783641
Lenora (L.35G),Canada,VMS,,0.317485,0.65,6.6
Lessard,Canada,VMS,,0.74,,3.5
Linda 2-RLM,Canada,VMS,,11.8,,0.8
Logan,Canada,Epithermal,,13.08,,5.1
Long Lake,Canada,Sediment-hosted Pb-Zn,,0.485,1.525319588,7.490309278
Lundberg-Engine,Canada,VMS,,28.64,0.601847067,1.421773743
Lustdust (Canyon Creek),Canada,Skarn,,0.307234,,2.730205641
Magusi River,Canada,VMS,,1.664,,3.324236779
Marg,Canada,VMS,,14.35,1.385156794,2.858466899
Matt Berry (Barb),Canada,VMS,,0.53343,6.1,4.6
McIlvenna Bay,Canada,VMS,,25.211,,2.80459601
McMillan,Canada,Skarn,,1.5,5.486666667,6.54
Mel,Canada,Sediment-hosted Pb-Zn,Sedex,5.62,1.82,6.31
Mineral King,Canada,Sediment-hosted Pb-Zn,Sedex,2.1,1.76,4.12
Ming-Rambler,Canada,VMS,Noranda-type,83.633,,0.01820513434
Miya-Emerald Glacier,Canada,Epithermal,,0.0408,6.23,9.49
Monarch-Kicking Horse,Canada,Sediment-hosted Pb-Zn,MVT,0.76,10.0,7.0
Mt Pleasant (North Zone),Canada,Porphyry,Sn-W-Mo,18.485,,0.8016180687
Murray Brook,Canada,VMS,,20.705,0.911534895,2.449617001
Myra Falls,Canada,VMS,,9.15,0.6698469945,6.221092896
Nanisivik,Canada,Sediment-hosted Pb-Zn,MVT,7.28,0.34,2.76814706
