Deposit,Country,Primary Deposit Type,Secondary Deposit Type,Mt ore,%Pb,%Zn
Nakru,PNG,VMS,,38.4,0.001929,0.0659
Solwara 1,PNG,VMS,Seafloor Massive sulfide,2.57,,0.6996108949
Solwara 12,PNG,VMS,Seafloor Massive sulfide,0.23,,3.6
"Olza (Rokitno, Zawiercie, Chechlo)",Poland,Sediment-hosted Pb-Zn,MVT,21.2,1.54,5.88
Aljustrel,Portugal,VMS,,13.0,1.8,5.6
Lagoa Salgada,Portugal,VMS,,8.41,2.72863258,2.631391201
Neves-Corvo,Portugal,VMS,,193.323,0.9256508538,3.778547302
Cavnic,Romania,Epithermal,Low sulfidation,20.0,1.5,2.0
Suior,Romania,Epithermal,Low sulfidation,9.3,1.4,2.3
50 Years October,Russia,VMS,,46.0,,0.47
Alexandrinka,Russia,VMS,,10.0,,5.5
Bakr Tau,Russia,VMS,,1.3,0.67,4.66
Balta Tau,Russia,VMS,,3.5,,5.1
Berezitovy,Russia,Orogenic Au?,,27.033,0.4546388638,0.6819582958
Blyava,Russia,VMS,,10.0,,5.0
Buribai,Russia,VMS,,30.0,0.1,1.2
Degtyarskoe,Russia,VMS,,130.0,0.1,1.5
Gai,Russia,VMS,,380.0,0.06,0.74
Goltsovoye,Russia,Epithermal,,0.75,2.573435449,
Gorevskoe,Russia,Sediment-hosted Pb-Zn,Sedex,300.0,6.5,1.4
Goroblagodat,Russia,Skarn,,160.0,,0.08
Ishkinino,Russia,VMS,,1.0,,0.2
Kholodninskoe,Russia,Sediment-hosted Pb-Zn,Sedex,519.0,0.6473988439,4.08477842
Khudesskoye,Russia,Orogenic Au?,,31.0,,0.9
Komaganskoe,Russia,VMS,,0.5,,0.85
Korbalikhinskoye,Russia,VMS,,24.5,2.01,9.8
Krasnogvardeyskoe,Russia,VMS,,14.1,,0.73
Letnye,Russia,VMS,,6.0,0.6,1.2
Limonitovoye,Russia,Sediment-hosted Pb-Zn,,80.0,,1.9
Mauk,Russia,VMS,,3.0,,1.7
Nazarovskoe,Russia,Skarn,,5.075861839,,7.484443275
Novoshirokinskoye,Russia,Skarn/Epithermal?,,7.390939,2.2,1.1
Noyon-Tologoisky,Russia,Skarn,,14.0,1.79,1.55
Ozernoe (Ozerny),Russia,Sediment-hosted Pb-Zn,Sedex,135.058,1.159130226,6.121593464
Pavlovskoye,Russia,Sediment-hosted Pb-Zn,MVT,21.4,2.1,9.2
Perevalnoye,Russia,Epithermal?,Low sulfidation?,1.174,2.393015332,2.393015332
Podolskoe,Russia,VMS,,80.8,0.13,1.75
Safyanovka,Russia,VMS,,18.2,,0.86
Salairskoye,Russia,VMS,,25.0,0.13,2.42
Sardana,Russia,Sediment-hosted Pb-Zn,MVT,18.3,2.896174863,10.38251366
Sibay,Russia,VMS,,110.0,0.04,0.4
Tarnyerskoe,Russia,VMS,,9.1,,4.24
Tuva / Kyzyl-Tash Turk,Russia,VMS,,12.92,1.547987616,9.984520124
Uchaly,Russia,VMS,,113.0,,3.73
Urultun,Russia,Sediment-hosted Pb-Zn,MVT,23.0,2.85,6.74
Uzelga,Russia,VMS,,69.0,0.03913043478,2.859565217
Yaman Kasy,Russia,VMS,,2.3,,5.56
Yubilenoe (VMS Cu-Zn),Russia,VMS,,106.0,,1.0
Zimnyee,Russia,VMS,,12.5,,0.87
Al Masane-Al Kobra (AMAK),Saudi Arabia,VMS,,10.036,,4.421666999
Jabal Dhaylan,Saudi Arabia,Sediment-hosted Pb-Zn,MVT,1.2,1.4,5.6
Jabal Sayid-Citadel (Lode 1 only),Saudi Arabia,VMS,,17.3,,2.302312139
Khnaiguiyah (1-2),Saudi Arabia,VMS,,29.64,,3.865303644
Chadine,Serbia,VMS,,7.7,1.0,2.6
Parlozi,Serbia,Epithermal,,6.5,4.07,2.12
Tenka,Serbia,Sediment-hosted Pb-Zn,MVT,4.0,1.333333333,6.666666667
Black Mountain-Deeps/Broken Hill,South Africa,Sediment-hosted Pb-Zn,Sedex,25.9,2.659073359,2.624517375
Black Mountain-Gamsberg,South Africa,Sediment-hosted Pb-Zn,Sedex,214.3,0.4436397573,6.667372842
Black Mountain-Swartberg,South Africa,Sediment-hosted Pb-Zn,,46.0,2.715478261,0.5404347826
Bushy Park,South Africa,Sediment-hosted Pb-Zn,MVT,0.63,0.18,3.3
Pering,South Africa,Sediment-hosted Pb-Zn,MVT,347.767739,0.09,0.37
Salt River-Graafwater East/West,South Africa,VMS,,14.91,0.58,3.04
Salt River-Hartebeest Vlei,South Africa,VMS,,1.13,3.95,0.64
Salt River-Main,South Africa,VMS,,26.01,0.49,1.76
Yeonwha 1,South Korea,Skarn,,7.2,3.45,4.8
Aguas Teñidas,Spain,VMS,,38.12,0.9852334732,3.449737671
Cobre Las Cruces,Spain,VMS,,40.708,1.432897956,2.451186745
Lomero-Poyatos,Spain,VMS,,30.35,0.67,2.35
Masa Valverde,Spain,VMS,,134.082009,0.45,1.1
Santa Barbara,Spain,Sediment-hosted Pb-Zn,Sedex,5.0,7.6,8.9
Toral,Spain,Mesothermal Vein,,22.7,3.18,4.16
Abu Samar,Sudan,Sediment-hosted Pb-Zn,Sedex,3.6,,4.9
Hassaï,Sudan,VMS,,117.06,,0.6655091406
Barsele (Norra),Sweden,VMS/Epithermal,,0.54,,0.4592592593
Boliden-Kristineberg,Sweden,VMS/Epithermal,High to intermediate sulfidation,12.61,0.3011895321,5.152260111
Boliden-Maurliden,Sweden,VMS,,2.81,0.2996441281,3.547686833
Boliden-Maurliden Östra,Sweden,VMS,,0.56,,0.1285714286
Boliden-Petiknäs N,Sweden,VMS,,2.23,0.2677130045,1.786995516
Boliden-Renström,Sweden,VMS,,7.68,1.24296875,7.061328125
Garpenberg,Sweden,VMS,,74.4,1.773924731,3.927016129
Häggån,Sweden,Sediment-hosted Pb-Zn (Shale-hosted),,2350.0,,0.0431
Huornaisenvuoma,Sweden,Sediment-hosted Pb-Zn,Sedex,0.55,2.6,4.5
Rockliden,Sweden,VMS,,10.0,0.44,4.032
Viken,Sweden,Sediment-hosted Pb-Zn (Shale-hosted),,3062.0,,0.04198595689
Viscaria (A-B Zones),Sweden,IOCG?,,41.26,,0.1895128454
Zinkgruven,Sweden,Sediment-hosted Pb-Zn,Sedex,26.198,3.201236736,7.709817543
Konimansur Kalon,Tajikistan,Epithermal?,,961.0,0.5,0.4
Harvest-Terakimti,Tanzania,VMS,,6.051,,1.566856718
Mae Sod (Padaeng),Thailand,Sediment-hosted Pb-Zn,MVT,1.609,,10.3
Bou Jabeur-Gite de l'Est,Tunisia,Sediment-hosted Pb-Zn,MVT,8.836,0.99,2.17
Djebba,Tunisia,Sediment-hosted Pb-Zn,MVT,2.7,3.34,6.14
Fej Lahdoum-Dar N’Hal Nord,Tunisia,Sediment-hosted Pb-Zn,MVT,1.2,5.6,6.0
Kohol,Tunisia,Sediment-hosted Pb-Zn,MVT,0.4,1.75,1.75
Sidi at Taia (Sidi Taya),Tunisia,Sediment-hosted Pb-Zn,MVT,0.025,1.75,1.75
Zriba-Guebli,Tunisia,Sediment-hosted Pb-Zn,MVT,4.0,1.0,1.0
Bayindir,Turkey,Sediment-hosted Pb-Zn,Sedex,0.9,1.5,7.5
Çayeli Bakir,Turkey,VMS,,13.446,,2.724100848
Çorak,Turkey,Epithermal,High sulfidation,4.8,0.3808333333,0.9804166667
Tufanbeyli Group,Turkey,Sediment-hosted Pb-Zn,MVT,6.25,0.005,1.68
Yenice,Turkey,Skarn,,0.923475,7.38,2.85
Yenipazar,Turkey,VMS,,30.038,1.009140089,1.475159465
South Crofty,UK,Granite-related,????,3.499,,0.29
Back Forty,USA,VMS,,17.470781,0.2377571675,2.946499735
Blue Moon,USA,VMS,,5.570208,0.3260586319,5.604592834
C.O.D.-Kingman,USA,Mesothermal Vein,,1.264941,2.5,3.5
C.O.D.-Kingman Tailings,USA,Mesothermal Vein Tailings,,0.046775,0.257071085,0.6481079637
Coeur-Galena Complex (Pb-Ag only),USA,Mesothermal Vein,Coeur D'Alene district,2.1595896,6.72794917,
East Tennessee (Coy-Immel-Young),USA,Sediment-hosted Pb-Zn,MVT,30.62,,3.838592423
Empire,USA,Skarn,,27.88,,0.2315351506
Greens Creek,USA,VMS,,9.93384,3.162684932,8.123908676
Lik,USA,Sediment-hosted Pb-Zn,Sedex,23.45,2.713168443,8.227522388
Lone Mountain-Upper Lake Valley,USA,Skarn,,6.71328,,5.0
Lucky Friday,USA,Mesothermal Vein,Coeur D'Alene district,32.1910848,4.481921429,1.151797327
Middle Tennessee (Gordonsville-Elmwood-Cumberland),USA,Sediment-hosted Pb-Zn,MVT,20.1,,3.696761194
Montana Tunnels (M-pit),USA,Porphyry,Au,34.2722016,0.163,0.476
Niblack (Lookout-Trio),USA,VMS,,9.031,,1.563782527
Pend Oreille (Yellowhead),USA,Sediment-hosted Pb-Zn,MVT,6.6,1.187878788,6.436363636
Red Dog,USA,Sediment-hosted Pb-Zn,Sedex,53.1,4.492843691,17.17909605
Reef Ridge,USA,Sediment-hosted Pb-Zn,MVT,11.8,,0.99
Revenue (Virginius),USA,Epithermal,,1.02667824,3.580652116,1.153053813
Revenue (Yellow Rose),USA,Epithermal,,0.32123952,1.778943801,1.62136967
San Juan,USA,Epithermal,Low sulfidation,3.2604768,1.414858097,1.1
Silver Valley-Star,USA,Mesothermal Vein,Coeur D'Alene district,3.4437312,6.234088514,6.236354057
Sunshine (inferred only),USA,IOCG,,8.269128,0.35,0.02
Su-Lik,USA,Sediment-hosted Pb-Zn,,34.0,2.0,8.0
Upper Kobuk-Arctic,USA,VMS,,27.211,0.7377538495,4.374610268
West Desert (Crypto),USA,Skarn,,71.113,,1.879172303
Khandiza,Uzbekistan,VMS,,14.411999999999999,3.5,7.24
Parys Mountain,Wales,VMS,,25.775326,0.5745920308,1.095149954
Jabali,Yemen,Sediment-hosted Pb-Zn,Non-sulfide Zinc deposit,12.6,1.2,8.9
Jabali Stockpile,Yemen,Sediment-hosted Pb-Zn,Non-sulfide Zinc deposit,0.12,3.5,24.0
Kabwe,Zambia,Sediment-hosted Pb-Zn,MVT,1.1,2.8,15.0
Kabwe Tailings,Zambia,Sediment-hosted Pb-Zn,MVT,0.6,7.3,10.5
