row index,Country,Project,Status,Location Lat,Location Long,Mine Type,Company,Economic Mineralogy,Principal Process,Column 9,Mt,Column 11,Column 12
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Inferred,81.19999999999999,g/t Pt,1.418353511083744
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Inferred,81.19999999999999,g/t Pd,1.6623498817733993
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Inferred,81.19999999999999,g/t Rh,0.12451818349753693
14,Russia,Akkim,Deposit,,,,unknown,,,Inferred,1.75,%Cu,0.335
14,Russia,Akkim,Deposit,,,,unknown,,,Inferred,1.75,%Ni,0.47
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Indicated,0.473,%Cu,0.04
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Indicated,0.473,g/t Au,0.01
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Indicated,0.473,%Ni,0.96
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Indicated,0.473,%Co,0.03
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Indicated,0.473,g/t Pt,0.03
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Indicated,0.473,g/t Pd,0.07
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Inferred,0.066,%Cu,0.04
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Inferred,0.066,g/t Au,0.01
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Inferred,0.066,%Ni,0.82
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Inferred,0.066,%Co,0.02
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Inferred,0.066,g/t Pt,0.01
15,Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,Inferred,0.066,g/t Pd,0.02
16,Philippines,Alpha,Care & Maint.,,,OC,DMCI Mining Corp,,DSO,Measured,1.782,%Ni,1.34
16,Philippines,Alpha,Care & Maint.,,,OC,DMCI Mining Corp,,DSO,Measured,1.782,%Co,0.031
16,Philippines,Alpha,Care & Maint.,,,OC,DMCI Mining Corp,,DSO,Measured,1.782,%Fe,13.7
16,Philippines,Alpha,Care & Maint.,,,OC,DMCI Mining Corp,,DSO,Indicated,0.646,%Ni,1.22
16,Philippines,Alpha,Care & Maint.,,,OC,DMCI Mining Corp,,DSO,Indicated,0.646,%Co,0.039
16,Philippines,Alpha,Care & Maint.,,,OC,DMCI Mining Corp,,DSO,Indicated,0.646,%Fe,17.6
16,Philippines,Alpha,Care & Maint.,,,OC,DMCI Mining Corp,,DSO,Inferred,0.293,%Ni,1.23
16,Philippines,Alpha,Care & Maint.,,,OC,DMCI Mining Corp,,DSO,Inferred,0.293,%Co,0.044
