Country,Project,Status,Location,Location,Mine,Company,Economic,Principal,Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves
Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,46.9,0.24,0.16,,,,,,0.1,,0.41,1.68,,,,,,,,,,69.9,0.22,0.11,,,,,,0.09,,0.31,1.28,,,,,,,,,,91.7,0.22,0.1,,,,,,0.1,,0.38,1.5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Area 55,Deposit,,,OC,China Minmetals,,HM,0,,,,,,,,,,,,,,,,,,,,,12.2,0.49,,,,,0.56,,0.2,0.21,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Aurora,Deposit,,,,Sylvania Pt,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,133.43,0.10798927886436387,0.09351551799999999,,,,,,0.20463110206781226,,0.5610813160000001,0.6854033,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Avalon-Bulong,C&M,,,OC,"Dragon Mountain Gold, Wingstar Investments",,HPAL,0,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,0.86,0.053,,,,,,,,,,,,81.8,,,,,,,,0.79,0.06,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Avebury,C&M,,,UG,Dundas Mining,,F,3.8,,,,,,,,1.1,,,,,,,,,,,,,4.9,,,,,,,,0.9,,,,,,,,,,,,,20.7,,,,,,,,0.8,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Serbia,Ba,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,1.55,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
USA,Babbit-Minnamax,Deposit,51.76,-86.71,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,330.2208,0.84,,,,,,,0.19,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Sweden,Backviken,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.07,0.27,,,,,,,0.46,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Bafokeng-Rasimone,,,,,"Royal Bafokeng, Anglo Am Pt",,,169.01,0.053973729365126316,0.15692089225489614,,,,,,0.1627684752381516,,3.8727634341163246,1.7400606827998344,0.46323098041536004,,,,,,,,,123.4,0.050729335494327385,0.13868732576985413,,,,,,0.15887520259319285,,3.6139807666126416,1.6354221977309562,0.4491579303079417,,,,,,,,,55.540000000000006,0.05654303204897371,0.167730140439323,,,,,,0.16585163845876846,,3.919121570039611,1.747478970111631,0.44931811307166003,,,,,,,,,60.910000000000004,0.09729272697422425,0.17392956821539976,,,,,,0.21475127236906913,,2.9358104843211295,1.236532099819406,0.2313882876374979,,,,,,,,,64.31,0.04445809360908101,0.07572763178354844,,,,,,0.1513497123308972,,2.4107949619032807,1.1161566474887266,0.33619648577204164,,,,,,,,
Indonesia,Bahodopi,Deposit,,,,Vale,,RKEF,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,175,,,,,,,,1.77,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
China,Baimazhai,,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.8,0.81,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Baja Verapaz,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,1.35,0.04,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Bakubung (Ledig-Frischgewaagd),,,,,"Wesizwe, Anglo Am Pt",,,6.698,0.08862728476852891,0.23825999999999997,,,,,,0.2156295867868934,,4.05669,1.68663,0.28841999999999995,,,,,,,,,50.986999999999995,0.04147684110533801,0.09393381842430425,,,,,,0.1490330431376395,,3.1791663369094088,1.4525827289309041,0.41587007590170044,,,,,,,,,21.32,0.05608480366392543,0.12568529080675425,,,,,,0.15620543421284055,,3.1799967016885553,1.4082384803001877,0.35106618386491556,,,,,,,,,7.052,0.08862728476852891,0.19304,,,,,,0.2156295867868934,,3.28676,1.36652,0.23368,,,,,,,,,54.07000000000001,0.04129163672516266,0.07548150175698168,,,,,,0.1487714555335761,,2.556047149990752,1.1679334270390234,0.33444352136119837,,,,,,,,
Australia,Bamboo Creek,Deposit,,,UG,"Kitchener Mining50%, Destra25%, Haoma Mining25%",,F,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1.025,,,,,,,,0.8,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Barnes Hill,Deposit,,,OC,unclear,,HPAL,0,,,,,,,,,,,,,,,,,,,,,5.674,,,,,,,,0.82,0.06,,,,,,,18.394832908586565,,,,,0.933,,,,,,,,0.77,0.05,,,,,,,17.27575562137217,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Brazil,Barro Alto,Operating,,,,Anglo American,,,14.4,,,,,,,,1.4116666666666666,,,,,,,,,,,,,49.6,,,,,,,,1.2409677419354839,,,,,,,,,,,,,17.5,,,,,,,,1.2688571428571427,,,,,,,,,,,,,13.9,,,,,,,,1.42,,,,,,,,,,,,,38.1,,,,,,,,1.27,,,,,,,,,,,,
USA,Benbow,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.25344,0.25,,,,,,,0.26,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Berg,,,,,Platfields,,,0,,,,,,,,,,,,,,,,,,,,,13.685,0.02914859532982291,0.02,,,,,,0.11240231217618901,,1.32,0.59,0.24,,,,,,,,,9.945,0.02914859532982291,0.03,,,,,,0.11240231217618901,,2.36,0.98,0.38,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
