Country,Project,Status,Location,Location,Mine,Company,Economic,Principal,Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves
New Caledonia,Doniambo-SLN Group,Operating,,,OC,Eramet-Société Le Nickel (SLN),,RKEF,39.4,,,,,,,,2.39,,,,,,,,,,,,,65.7,,,,,,,,2.42,,,,,,,,,,,,,84.5,,,,,,,,2.43,,,,,,,,,,,,,17.1,,,,,,,,2.61,,,,,,,,,,,,,19.2,,,,,,,,2.46,,,,,,,,,,,,
Australia,Duketon-C2,Deposit,,,UG,Duketon Mining,,F,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,5.721787,0.04,,,,,,,0.7,,0.061,0.082,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Duketon-Rosie,Deposit,,,UG,Duketon Mining,,F,0,,,,,,,,,,,,,,,,,,,,,1.41,0.4,,,,,,,1.7,,0.8,1,,,,,,,,,,0.53,0.4,,,,,,,1.6,,0.9,1.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Dumont,Deposit,,,,RNC Minerals,,,372.1,,,,,,,,0.28,0.0112,0.011,0.024,,,,,,,,,,1293.5,,,,,,,,0.26,0.0106,0.008,0.017,,,,,,,,,,499.8,,,,,,,,0.26,0.0101,0.006,0.014,,,,,,,,,,163.14,,,,,,,,0.33,0.0114,0.013,0.031,,,,,,,,,,864.908,,,,,,,,0.26,0.0106,0.008,0.017,,,,,,,,,
Canada,Dundonald,Deposit,,,,Class 1 Nickel,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.116,,,,,,,,3.16,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
USA,Dunka Pit,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,246.7584,0.25,,,,,,,0.05813953488372093,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Tanzania,Dutwa (Wamangola-Ngasamo),Deposit,,,,African Eagle,,ATL?,0,,,,,,,,,,,,,,,,,,,,,101.3,,,,,,,,0.9277690029615006,0.028427443237907205,,,,,,,8.662319651732105,65.75008884501482,,,,5.42,,,,,,,,0.814520295202952,0.02285239852398524,,,,,,,7.3544489514010944,54.38062730627307,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
USA,Eagle-Eagle East (USA),Deposit,46.74852,-87.88151,,Lundin Mining,,,1.868,2.4,0.3,,,,,,2.6,0.1,0.64,0.43,,,,,,,,,,2.113,3.268622811168954,0.3835778513961193,,,,,,4.113393279697113,0.09999999999999999,0.64,0.43,,,,,,,,,,0.313,1.3632587859424918,0.1926517571884984,,,,,,1.6485623003194885,0.1,0.64,0.43,,,,,,,,,,1.711,2.1,0.2,,,,,,2.1,0.1,0.64,0.43,,,,,,,,,,2.377,2.4042490534286918,0.294867480016828,,,,,,2.99911653344552,0.10000000000000002,0.64,0.43,,,,,,,,,
Canada,Eagle's Nest,Deposit,,,,Noront Resources,,,5.346,1.07,,,,,,,2.08,,1.04,3.55,,,,,,,,,,5.643,0.89,,,,,,,1.5,,0.94,3.27,,,,,,,,,,8.966,1.14,,,,,,,1.1,,1.16,3.49,,,,,,,,,,5.264,1.04,,,,,,,2.02,,1.1,3.45,,,,,,,,,,5.867,0.72,,,,,,,1.38,,0.78,2.76,,,,,,,,,
Indonesia,East Halmahera Group (Limonite),Operating,,,,PT Antam,,HPAL?,37.55,,,,,,,,1.467411451398136,0.1728255659121172,,,,,,,40.25441544607191,12.930910785619178,,,,26.05,,,,,,,,1.3696391554702496,0.1610134357005758,,,,,,,41.09904414587332,13.656241842610363,,,,24.7,,,,,,,,1.3846477732793523,0.1689514170040486,,,,,,,41.582356275303646,11.843299595141703,,,,10.22,,,,,,,,1.6952446183953034,0.17575342465753427,,,,,,,37.50960861056751,14.825205479452057,,,,2.5300000000000002,,,,,,,,1.6267588932806325,0.15225296442687744,,,,,,,35.86205533596837,19.605691699604744,,,
Indonesia,East Halmahera Group (Saprolite),Operating,,,,PT Antam,,RKEF,82.03,,,,,,,,1.9836474460563207,0.03359868340850908,,,,,,,12.01884920151164,40.89047909301475,,,,93.24,,,,,,,,1.853512441012441,0.030203775203775204,,,,,,,11.801607679107677,41.46417524667525,,,,111.33,,,,,,,,1.8410401509027217,0.038697565795383096,,,,,,,12.475540285637294,40.77374023174347,,,,64.24000000000001,,,,,,,,1.9376899128268987,0.034738480697384805,,,,,,,11.985958904109589,40.85468244084682,,,,70.26,,,,,,,,1.8043922573299174,0.03039424992883575,,,,,,,11.662843723313408,41.57916880159408,,,
South Africa,Eland,,,,,Northam Pt,,,32.33,0.009,0.03555,,,,,,0.097,,2.35025,1.1573499999999999,0.4029,,,20.389071268330234,,,,,,31.19,0.014099711445976274,0.045533424174414874,,,,,,0.0980817569733889,,1.976171705674896,0.9790922250721384,0.32858214171208716,,,17.238211264696,,,,,,88.73,0.009,0.03744,,,,,,0.097,,2.4752,1.21888,0.42432,,,20.389071268330234,,,,,,0,,,,,,,,,,,,,,,,,,,,,8.81,0.027878547105561858,0.06424365493757093,,,,,,0.10100454029511918,,1.0715566628830873,0.5457213393870601,0.15279868331441546,,,8.724948772032347,,,,,
Canada,Eldorado-Port Radium Tailings,Tailings,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.8255520000000001,0.273,,154,0.06700593723494487,,,,0.05,0.073,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Norway,Ertelien (Ertelia),Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2.698,0.69,,,,,,,0.83,0.06,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Everest North-Vygenhoek,,,,,"Sibanya-Stillwater, Sylvania Pt",,,2.8,0.02914859532982291,0.0560967,,,,,,0.11240231217618901,,2.4316289999999996,2.143887,0.4378044,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Everest South-Hoogland,,,,,Sibanye-Stillwater,,,0,,,,,,,,,,,,,,,,,,,,,2.71,0.02914859532982291,0.05371684,,,,,,0.11240231217618901,,1.5066564,1.3283692,0.27126704,,,,,,,,,3.89,0.02914859532982291,0.01492537313432836,,,,,,0.11240231217618901,,0.44402985074626866,0.44402985074626866,0.09701492537313434,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Greece,Evvoia,Operating,,,,Larco,,RKEF,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,210.75,,,,,,,,0.83,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,Falcondo,Operating,,,,Americano Nickel,,,40.5,,,,,,,,1.42,,,,,,,,,,,,,31.1,,,,,,,,1.53,,,,,,,,,,,,,4.9,,,,,,,,1.4,,,,,,,,,,,,,44.9,,,,,,,,1.28,,,,,,,,,,,,,26.3,,,,,,,,1.36,,,,,,,,,,,,
Russia,Fedorova Tundra,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,260.5,0.11,0.071,,,,,,0.07,,0.65,0.65,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Guatemala,Fenix-Exmibal (Saprolite+Limonite),Operating,,,,Solway Group,,,55.013999999999996,,,,,,,,1.2686916057730764,0.09250554404333443,,,,,,,44.6,5.5,,,,40.96,,,,,,,,1.6557397460937502,0.030675976562500006,,,,,,,43,7.1,,,,55.3,,,,,,,,1.2044665461121158,0.07841048824593129,,,,,,,41.5,7.6,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Ferguson Lake,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,15.8,0.99,,,,,,,0.65,0.07,0.25,1.55,,,,,,,,,,30.2,1,,,,,,,0.67,0.05,0.19,1.18,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Fisher East,Deposit,,,UG,Rox Resources,,F,0,,,,,,,,,,,,,,,,,,,,,3.74,,,,,,,,1.9133689839572192,,,,,,,,,,,,,0.42000000000000004,,,,,,,,1.5190476190476188,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Norway,Flåt,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2.6,0.47,,,,,,,0.75,0.06,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Flying Fox-Lounge Lizard,Operating,,,UG,Western Areas,,F,0,,,,,,,,,,,,,,,,,,,,,6.144703,,,,,,,,1.9178558182551706,0.021075973891659206,,,,,,,,,,,,0.690556,,,,,,,,1.7335332688442358,0.021075973891659206,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.7496,,,,,,,,3.9,0.021075973891659206,,,,,,,,,,,
PNG,Frieda River,Deposit,-4.666666666666667,141.93333333333334,OC,Redstone Metals?,,DSO?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,23.33333333333333,,,,,,,,0.9,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
USA,Funter Bay,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.508032,0.35,,,,,,,0.34,0.15,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Gabanintha (Ni-Co-Cu zone only),Deposit,,,OC,Australian Vanadium,Ti-V Magnetite,beneficiation,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,14.3,0.0217,,,,,,,0.0666,0.0208,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
USA,Gap,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.7257600000000001,,,,,,,,0.7,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Garatau (Garatouw/Hoepakrantz/De Kom),,,,,Nkwe Pt,,,67.225,0.054018565140117075,0.1403371335068799,,,,,,0.14504986907307207,,2.2807834912606917,1.8898124554853106,0.36908769535143177,,,,,,,,,137.985,0.0838270200529182,0.17986810160524694,,,,,,0.18418032380209357,,1.7779394861760334,1.0033939921005905,0.1524675145849186,,,,,,,,,149.763,0.0624642529500914,0.1477214538971575,,,,,,0.156136777316737,,2.0666478219586946,1.5917558927104825,0.3035854408632306,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
USA,Gasquet Mountain,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,34.02,,,,,,,,0.86,0.09,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Indonesia,Gebe Island,Deposit,,,OC,unknown,,DSO?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,2.2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Geordie Lake,Deposit,,,,Sibanye-Stillwater,,,13.97,0.208,0.038,1.847,,,,,0.009,0.007,0.026,0.341,,,,,,,,,,37.54,0.216,0.039,1.888,,,,,0.01,0.007,0.026,0.362,,,,,,,,,,17.92,0.203,0.037,1.62,,,,,0.009,0.006,0.025,0.349,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Ghan Well,Deposit,,,OC,White Cliff Minerals,,HPAL?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,0.9,0.07,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Guinea,Gogota,Deposit,,,,SRG Mining,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,44.89,,,,,,,,1.28,0.13,,,,,,,41.27,,29,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Goodyear,Deposit,,,UG,unknown,,F,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,3.78,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Goongarrie South (Fe),Deposit,,,OC,Ardea Resources,,beneficiation,0,,,,,,,,,,,,,,,,,,,,,29.830578,,,,,,,,0.8,0.072,,,,,,1.48,41,10.9,,,,18.62709,,,,,,,,0.42,0.035,,,,,,1.77,41,10.9,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Gordonbrook-Bungonia,Deposit,,,OC,unknown,,HM?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.077691,,,,,,,,0.3,0.446,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Gornostai,Deposit,,,,Kaznickel; Bekem Metals Inc. ,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,,,0.91,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
New Caledonia,Goro,Operating,,,OC,Vale,,HPAL,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,111.17,,,,,,,,1.4150366105963839,0.11,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Grasset,Deposit,,,,Balmoral Resources,,,0,,,,,,,,,,,,,,,,,,,,,15.564,0.07,,,,,,,0.72,0.02,0.14,0.34,,,,,,,,,,2.9994,0.04,,,,,,,0.43,0.01,0.06,0.15,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Grootboom,,,,,"Sedibelo Pt Mines, Moepi",,,0,,,,,,,,,,,,,,,,,,,,,12.2,0.06078908966171209,0.060000000000000005,,,,,,0.15393774011700964,,2.35,1.83,0.33999999999999997,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Puerto Rico,Guanajibo-Punta Guanajibo,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,44.4,,,,,,,,0.89,0.08,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Sweden,Häggån,Deposit,,,,Aura Energy,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2600,,,,0.01272264631043257,0.02,,0.04,0.03,,,,,,,,,,,,0.26,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Finland,Haukiaho,Deposit,,,,"Nortec Minerals Corp, Finore Mining",,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,23.2,0.21,0.1,,,,,,0.14,0.0043,0.12,0.31,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Russia,Hautavaara,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.3,0.59,,,,,,0.7,0.49,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
China,Heishan,,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,35,0.3,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Hengjaya Mineralindo (HM),Deposit,,,OC,,,,0.708,,,,,,,,1.797457627118644,0.04949152542372881,,,,,,,1.797457627118644,,,,,14.55,,,,,,,,1.8424742268041236,0.06205498281786941,,,,,,,16.71340206185567,,,,,21.8,,,,,,,,1.8004587155963305,0.05334862385321102,,,,,,,16.954128440366972,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
USA,Higdon,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.55,0.34,,,,,4.6,1.4,0.10400000000000001,0.08,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Philippines,Hinatuan-Taganaan,Operating,,,OC,Nickel Asia Corp,,DSO,0,,,,,,,,,,,,,,,,,,,,,16.725,,,,,,,,1.1601937219730942,,,,,,,,27.694408968609864,,,,34.450323339212225,2.8120000000000003,,,,,,,,1.2035028449502132,,,,,,,,20.640565433854906,,,,35.01271088513981,0,,,,,,,,,,,,,,,,,,,,,2.958,,,,,,,,1.2200135226504394,,,,,,,,32.51271129141312,,,,34.397870924817035
Finland,Hitura,C&M,,,,unknown,,F,0.22099999999999997,0.2293212669683258,,,,,,,0.6258371040723982,0.02,0.1,0.1,,,,,,,,,,4.042,0.16869619000494807,,,,,,,0.4845695200395844,0.02,0.1,0.1,,,,,,,,,,0.457,0.31,,,,,,,0.72,0.02,0.1,0.1,,,,,,,,,,0.149,0.2,,,,,,,0.59,0.02,0.1,0.1,,,,,,,,,,1.5070000000000001,0.17201061712010615,,,,,,,0.45109489051094886,0.02,0.1,0.1,,,,,,,,,
South Africa,Hoedspruit,,,,,Sibanya-Stillwater,,,0,,,,,,,,,,,,,,,,,,,,,37.97297297297297,0.04805337739338885,0.1940878421352313,,,,,,0.1583219183197408,,3.2778307402135236,1.6833978661921711,0.40021082014234877,,,,,,,,,6.081081081081081,0.06509185943171945,0.25794948977777776,,,,,,0.16593686374435782,,3.300985955555556,1.7128986311111112,0.3281825244444444,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Honeymoon Well Group (laterite),Deposit,,,OC,Norilsk Nickel,,HPAL?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,339,,,,,,,,0.81,0.05,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Honeymoon Well Group (sulfide),Deposit,,,OC,Norilsk Nickel,,F,0,,,,,,,,,,,,,,,,,,,,,173.3,,,,,,,,0.68,,,,,,,,,,,,,11.9,,,,,,,,0.68,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
China,Hongqiling,,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8.9,0.63,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Hotinvaara,Deposit,,,,Magnus Minerals,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1.267,,,,,,,,0.43,0.03,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
China,Huangshandong-Huangshan-Xiangshan,Operating,,,,Xinjiang Xinxin Mining Industry,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,79.165654,0.27,,,,,,,0.45,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,29.758688,0.31,,,,,,,0.49,,,,,,,,,,,,
China,Huanshanxi,,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,80,0.3,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Hursulskoe,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1125,,,,,,,,0.4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Oman,Ibra Group,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,0.7,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Finland,Ilmolahti-Ilmolahti,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.21,0.28,,,,,,,0.37,0.04,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Finland,Ilmolahti-Mäkisalo,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.104,0.28,,,,,,,0.43,0.03,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Finland,Ilmolahti-Ohensalo,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.137,0.29,,,,,,,0.24,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Finland,Ilmolahti-Törmälä,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.116,0.33,,,,,,,0.6,0.03,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Impala,,,,,Impala Pt,,,289.4,0.0459364201796821,0.12238103662750519,,,,,,0.09390463026952317,,3.491962522460263,1.7102224326192124,0.47217055286800286,,,12.436120170599516,,,,,,138.1,0.04887038377986966,0.1279095582910934,,,,,,0.1083055756698045,,3.5147593772628536,1.7094128023171615,0.46352657494569155,,,11.608063892446808,,,,,,25.299999999999997,0.05015810276679841,0.12696735177865615,,,,,,2.072411067193676,,3.4321509090909093,1.6640099604743084,0.44751446640316206,,,11.244629325107715,,,,,,21.200000000000003,0.04698113207547169,0.07751320754716981,,,,,,0.09547169811320753,,2.222731603773585,1.0895809433962265,0.30150613207547167,,,12.141269803637194,,,,,,85.7,0.05340723453908985,0.0888823803967328,,,,,,0.06085180863477247,,2.3342361726954493,1.1253003500583432,0.298083780630105,,,10.327622732926624,,,,,
South Africa,Impala-RBR JV,,,,,Impala Pt-RBR JV,,,3.8,0.06554779494582778,0.3327379365052632,,,,,,0.1830315000677236,,3.807810454736842,1.9858089715789475,0.33642534631578946,0.5786707636842106,0.12118811863157895,,,,,,,4.4,0.05872885477093881,0.31589743374090906,,,,,,0.1734002471734234,,4.0876368709090904,2.1201052127272724,0.41061160636363636,0.6905901304545454,0.15153261145454544,,,,,,,3.2,0.05665257490999505,0.32884145945,,,,,,0.1704676541447102,,4.411232279999999,2.2845426449999997,0.45756833499999994,0.7655341574999999,0.16979201049999998,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Philippines,Infanta,Deposit,,,OC,MacroAsia Corp?,,DSO,13.475,,,,,,,,1.22,,,,,,,,32.41,,,,,35.535,,,,,,,,1.08,,,,,,,,25.21,,,,,3.736,,,,,,,,1.04,,,,,,,,27.29,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Brazil,Ipanema,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1.2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Philippines,Ipilan-Celestial,Deposit,,,OC,DMCI Holdings,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,43.37,,,,,,,,1.2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Isabela Island (San Jorge-Kolosori),Operating,,,,Axiom Mining,,,1.9,,,,,,,,1.4,0.07,,,,,,,,,,,,6.9,,,,,,,,1.3,0.07,,,,,,,,,,,,7.2,,,,,,,,1.2,0.07,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
