Mt ore,%Pb,%Zn,g/t Ag
4.9,,0.5967346938775511,8.26734693877551
194.0,4.049536082474227,9.206185567010309,40.9680412371134
7.7,2.6,3.1,27.0
6.715,0.019977661950856294,0.14266567386448253,8.334326135517498
4.607,0.5,1.3,24.1
1.93,0.3,5.4,21.0
0.124,0.5387096774193548,2.6612903225806455,25.258064516129032
1.3,,0.4,6.0
0.65,2.0,9.0,280.0
6.1,,0.5,36.0
0.607,2.4,,26.0
144.3,0.05328482328482328,0.30187803187803186,5.903811503811504
9.633233,0.3896732280844863,7.799577327777704,35.04896578334605
427.8,2.4990042075736327,3.3728190743338002,51.676203833567094
24.400000000000002,3.1126229508196723,4.597090163934427,61.174180327868854
145.1,3.9301585113714688,8.34459682977257,62.486836664369406
56.0,5.310714285714285,7.821785714285714,106.26785714285714
8.27,2.421064087061669,5.698101571946796,35.54268440145103
20.0,,0.35,
0.227899,0.17,1.85,33.0
107.0,3.494392523364486,0.08691588785046729,9.25233644859813
43.6,0.95,4.09,
0.209338,1.3221077874060132,1.1132319024735118,161.00705079823064
0.215534,4.91,2.2,193.6
4.87613,0.14567621444344522,1.328,79.29
0.145097,11.46,,
8.096,0.3,0.7,9.0
78.0,0.2472692307692308,0.5038461538461539,
2.1450389999999997,1.22,4.41,32.7
4.458,0.92,3.24,25.97
4.867,1.684857201561537,0.935196219437025,33.25518800082186
0.895,0.7257206703910616,3.9948603351955314,11.315083798882682
8.852,3.4649062358788973,1.4796825576140984,
5.9,0.6,,110.0
2.98,1.588,4.94,15.0
0.6800000000000002,2.45,4.935294117647058,78.99999999999999
1.59,0.1,4.5,11.0
1.48,,1.39,3.31
0.9,0.9,3.4,16.0
0.131,1.8854961832061068,,4.580152671755725
3.832,0.19697286012526097,4.800156576200418,19.008350730688935
19.1,3.493717277486912,11.002094240837696,121.46596858638742
1.003,2.1,7.0,52.0
3.53,,4.050991501416431,19.416430594900852
24.381,0.45,1.81,4.57
1.6,13.9,5.1,157.0
16.7,4.5,0.7,52.0
13.986,0.6515151515151514,4.0,40.0
12.831,0.2,4.1,17.6
1.5,2.1,3.7,24.0
0.2876,1.5,2.8,31.0
0.3756,1.6,3.8,15.0
0.733,0.9,0.83,49.0
58.0,1.6,11.1,
1.554,,2.5,49.0
4.1713,2.2525783328938225,7.927348788147582,41.364083139548825
6.24,2.0,1.2,47.0
2.6100000000000003,1.0699616858237548,2.6713793103448276,88.2911877394636
1.25,1.76,3.3,68.8
48.3,0.8300000000000001,0.8800000000000001,20.37826086956522
1.49,0.71,1.56,245.0
0.972,0.2,1.1,10.3
2.875,,1.3490852173913042,
41.5,0.5,,45.0
11.65,1.3484120171673821,2.285579399141631,31.8068669527897
10.1,4.029029702970297,10.152178217821783,84.45148514851486
0.42,1.5,13.6,55.0
95.0,1.43,3.63,44.2
4.1,0.9170731707317074,9.80487804878049,302.4390243902439
2.33,2.2336909871244632,8.735579399141631,201.5922746781116
0.3652996,0.31403535837433166,2.2302390268152497,12.954722699942732
0.1163,1.2,5.1,54.0
485.0051789999999,0.07722341148443697,0.04448444443105629,23.754100835282017
18.4161,0.68,1.16,43.04
2.23,0.4845291479820628,6.1986098654708535,203.0493273542601
2.3499999999999996,0.8372340425531917,9.176595744680851,91.38297872340426
20.743,0.7619114882128911,1.3654905269247457,104.25518006074338
6.6,0.296969696969697,2.573787878787879,342.2424242424243
14.4,0.76,1.75,6.93
10.9,1.4,1.8,
33.8,1.4924852071005918,4.261183431952663,37.405325443786985
7.0,4.7,0.6,30.0
1.5,3.5,3.5,60.0
3.0,,4.5,
1.5,,7.9,120.0
0.1,7.5,4.0,
9.47,2.0,6.13,
5.2,6.3,0.5,33.0
6.890320000000001,0.997473557106201,4.53696751384551,25.848259587363138
3.3,4.13,1.88,
46.0,1.3,0.9,12.0
7.0,1.4,7.6,
18.8,,23.7,
12.96,0.14444444444444443,9.822222222222221,56.29629629629628
10.127143,,3.0299014025969613,67.25939231923554
68.19,0.9714025516937966,5.200339639243291,9.013224813022438
1.54224,,3.0,
0.072431,2.84,6.03,366.7
7.762,1.4,5.8,9.49
0.113638,5.0,,600.0
0.275922,,4.385592884945745,48.06089416574249
1.13625,2.2,5.1,336.0
9.07,2.6,5.4,17.1
0.066625,,5.71,19.22
5.0,2.3,0.6,7.0
1.388915,,3.17,
0.259637,,3.05,
2.7213,3.66,,36.3
0.959,2.1261313868613136,5.034306569343067,177.05109489051097
6.5,,4.0,
0.044216927999999996,7.94,6.74,161.1
19.6,2.8,3.04,56.0
2.2720000000000002,0.3519322183098591,4.164480633802817,13.65376320422535
2.0772,2.9217966493356444,6.820892547660312,103.98903235124206
0.296,0.7649999999999999,2.575,52.3
4.45,0.16314606741573034,6.753202247191011,20.09831460674157
5.880000000000001,,8.86938775510204,34.184013605442175
0.496568,1.7199240184627282,0.2643362238404408,277.3401583066166
5008.7480000000005,,0.017247699241407233,
1.25,0.7,9.4,
0.068,0.6,7.45,704.2
10.89,2.8911570247933884,6.978484848484848,82.36975206611571
0.9050629999999998,6.0933526174421,3.4857420091198077,136.54615327330808
4.014,,0.0215146985550573,1.2535625311410066
2.827047,,0.32,8.96
54.0,2.0,7.7,42.8
1.490365,1.4,8.6,8.5
0.327373,5.64,4.6,254.8
9.205,0.97,6.6,19.0
1.8,0.58,2.6,
0.043355,6.0,10.0,
0.317485,,4.23,30.16
1.0,6.0,2.0,50.0
13.733,0.24619675234835794,3.837042889390519,35.22252967305032
0.87498,13.5,8.5,123.0
0.160331,7.11,8.12,428.5
0.196,2.31,4.69,411.0
5.55,,4.7,
0.36,0.2,4.0,
1.015,,2.96,21.9
0.35,,7.84,22.31
0.03,,5.51,
2.44,3.1,11.9,
1.7,,4.38235294117647,
2.76,3.3,3.1,
0.07503,1.3128082100493135,7.131280821004931,130.18842063174728
80.36,,0.12005226480836236,
1.0,,13.0,
6.3497,,2.5,20.0
0.9071,2.23,3.79,214.9
9.0,1.1511111111111112,4.032,52.76666666666667
1.9,1.2,3.5,
0.7907,0.8520462880991527,9.28828000505881,153.07197420007589
0.587961,,7.63,
4.417000000000002,3.400000000000004,14.12836767036449,72.12157573013353
0.05,1.0,7.1,130.0
0.580544,1.34,2.22,342.0
50.0,0.2,4.7,
2.63088,0.53,3.67,
2.494758,,11.0,
1.5,3.1,6.4,90.0
0.070488,2.1,,342.8
17.24,4.85,6.39,71.6
0.20095,3.18,4.01,91.89
18.648999999999997,2.6817974154110145,4.4252056410531395,45.19287897474396
6.45,0.77,4.1,4.8
87.0,0.5310344827586208,3.810344827586207,143.79310344827587
12.3403,2.2105883973647322,7.420729722940287,25.7215237879144
0.523849,0.87,3.65,49.7
13.9,0.3431654676258993,3.8453237410071943,83.431654676259
0.036287,14.95,20.78,427.2
0.249906,1.24,2.19,226.6
67.6178,,0.72,
97.94999999999999,1.3554405308831037,4.407036242981113,
12.1,1.16,4.31,
130.1617,1.6859105712356246,5.285875092289054,
57.87,1.3148107827890099,4.691866251944012,
6.18,1.23,4.55,
3.15,1.1016190476190477,3.51847619047619,
6.85,0.9,3.2,
109.3014,1.8219353548993882,4.798740327205325,
0.03,6.7,17.7,449.13
11.384,,4.158359978917779,25.10629831342235
1.05,,8.572438095238095,12.101333333333333
