Mt ore,%Pb,%Zn,g/t Ag
4.192,,1.93,
45.926,0.86,2.53,28.612000000000002
1.6,2.1,3.0,286.12
3.836,1.0390119916579772,1.4001824817518247,526.0236488008342
1.349,1.5959970348406227,3.1573758339510754,145.80459229058562
27.66,2.1339331164135937,2.361547360809834,
71.745,0.7704001672590424,4.4857249982577185,109.82996752386926
23.54,1.2076125743415462,3.7820390824129144,200.48598130841125
6.509,2.5263880780457826,3.333780918727915,121.12945152865262
5.640000000000001,1.3011347517730496,0.9768439716312056,53.34091134751773
0.994563,,0.73,13.48
2.7,0.85,1.58,26.0
5.136,0.09764602803738318,2.377295560747664,27.799608644859816
38.4,0.001929,0.0659,1.802
2.5700000000000003,,0.6996108949416342,29.591439688715948
0.23,,3.6,56.0
21.2,1.54,5.88,
13.0,1.8,5.6,65.0
8.41,2.7286325802615936,2.631391200951249,52.93298454221165
193.323,0.9256508537525281,3.7785473016661233,53.3117270060986
20.0,1.5,2.0,30.0
9.3,1.4,2.3,36.0
46.0,,0.47,
10.0,,5.5,
1.3,0.67,4.66,
3.5,,5.1,
27.033,0.4546388638485226,0.6819582957727839,8.86545784504619
10.0,,5.0,
30.0,0.1,1.2,
130.0,0.1,1.5,
380.0,0.06,0.74,6.3
0.75,2.5734354485776803,,638.4870897155361
300.0,6.5,1.4,
160.0,,0.08,
1.0,,0.2,5.1
519.0,0.6473988439306358,4.0847784200385355,28.0
31.0,,0.9,11.0
0.5,,0.85,14.8
24.5,2.01,9.8,55.218367346938784
14.1,,0.73,
6.0,0.6,1.2,13.7
80.0,,1.9,
3.0,,1.7,
5.075861838541997,,7.484443274545932,150.0084232692814
7.390939,2.2,1.1,66.5
14.0,1.79,1.55,67.53142857142858
135.058,1.1591302255327343,6.121593463548995,36.723171526307226
21.4,2.1,9.2,31.0
1.1740000000000002,2.393015332197615,2.393015332197615,363.77172061328787
80.8,0.13,1.75,
18.2,,0.86,
25.0,0.13,2.42,8.708
18.3,2.8961748633879782,10.382513661202186,
110.0,0.04,0.4,16.0
9.1,,4.24,
12.92,1.5479876160990713,9.98452012383901,52.24
113.0,,3.73,18.0
23.0,2.85,6.74,
69.0,0.0391304347826087,2.8595652173913044,35.0
2.3,,5.56,33.5
106.0,,1.0,
12.5,,0.87,7.0
10.036,,4.421666998804305,32.73968911917098
1.2,1.4,5.6,
17.3,,2.3023121387283236,25.416184971098268
29.64,,3.8653036437246966,
7.7,1.0,2.6,
6.5,4.07,2.12,130.0
4.0,1.3333333333333333,6.666666666666667,
25.9,2.659073359073359,2.6245173745173744,
214.3,0.44363975734951,6.667372841810545,
46.0,2.715478260869565,0.5404347826086956,
0.63,0.18,3.3,
347.767739,0.09,0.37,
14.91,0.58,3.04,18.79
1.13,3.95,0.64,38.0
26.01,0.49,1.76,21.7
7.2,3.4499999999999997,4.8,
38.120000000000005,0.9852334732423921,3.4497376705141654,45.271668415529895
40.708,1.4328979561756903,2.4511867446202222,29.967205463299603
30.35,0.67,2.35,46.56
134.082009,0.45,1.1,26.8
5.0,7.6,8.9,51.0
22.7,3.18,4.16,24.4
3.6,,4.9,72.0
117.06,,0.6655091406116522,
0.54,,0.4592592592592592,15.884999999999998
12.61,0.3011895321173672,5.152260111022998,38.478191911181604
2.81,0.29964412811387897,3.547686832740214,48.61209964412811
0.56,,0.12857142857142856,9.571428571428571
2.23,0.2677130044843049,1.7869955156950672,48.784753363228695
7.68,1.24296875,7.061328125,142.62890625
74.39999999999999,1.7739247311827961,3.927016129032258,125.48790322580646
2350.0,,0.0431,
0.55,2.6,4.5,12.0
10.0,0.43999999999999995,4.032,52.31999999999999
3062.0,,0.04198595689092097,
41.26,,0.1895128453708192,2.8106713523994182
26.198,3.2012367356286737,7.709817543323918,79.55668371631421
961.0,0.5,0.4,52.0
6.051,,1.566856717897868,17.515501569988434
1.609,,10.3,
8.836,0.99,2.17,7.3
2.7,3.34,6.14,
1.2,5.6,6.0,
0.4,1.75,1.75,
0.025,1.75,1.75,
4.0,1.0,1.0,
0.9,1.5,7.5,
13.445999999999998,,2.7241008478357878,19.09073330358471
4.8,0.3808333333333333,0.9804166666666666,2.318333333333333
6.25,0.005,1.68,1.53
0.923475,7.38,2.85,
30.038,1.009140089220321,1.4751594646780744,31.228750249683735
3.499,,0.29,
17.470781,0.23775716746721282,2.9464997353581395,24.754246068850616
5.570208000000001,0.3260586319218241,5.604592833876221,50.10653821185851
1.2649409999999999,2.5,3.5,242.16761959727768
0.046775,0.25707108498129344,0.6481079636557991,82.80685195082845
2.1595896,6.727949170342364,,216.86362256050873
30.62,,3.8385924232527757,
27.880000000000003,,0.2315351506456241,8.94760832137733
9.93384,3.16268493150685,8.123908675799086,419.28446804055636
23.45,2.713168443496802,8.227522388059702,47.421833688699365
6.71328,,5.0,41.13756613756614
32.1910848,4.48192142937662,1.1517973272460986,240.16457904518953
20.1,,3.696761194029851,
34.2722016,0.163,0.476,7.233355379188713
9.030999999999999,,1.5637825268519545,25.981368619200534
6.6,1.187878787878788,6.436363636363637,
53.1,4.492843691148775,17.179096045197742,81.68173258003765
11.8,,0.99,
1.0266782399999999,3.5806521162852345,1.153053812847928,688.6308433886745
0.32123952,1.7789438011861052,1.6213696695848627,357.17508823322856
3.2604767999999997,1.414858096828047,1.1,386.98957772065734
3.4437312,6.2340885142255,6.236354056902002,108.78083051313646
8.269128,0.35,0.02,836.4638447971781
34.0,2.0,8.0,30.0
27.211,0.7377538495461394,4.374610267906362,51.754000220499066
71.113,,1.8791723032356953,
14.411999999999999,3.5,7.24,134.0
25.775326,0.5745920307661676,1.09514995426246,13.334541613557088
12.6,1.2,8.9,68.0
0.12,3.5,24.0,160.0
1.1,2.8,15.0,
0.6,7.3,10.5,
