Project,State/ Province,Country,Principal Deposit type,Total Mineral Resource Mt (Tonnes of Million),La ppm,Ce ppm,Pr ppm,Nd ppm,Sm ppm,Eu ppm,Gd ppm,Tb ppm,Dy ppm,Ho ppm,Er ppm,Tm ppm,Yb ppm,Lu ppm,Y ppm,Sc ppm
Buckton south,Alberta,Canada,Shale-hosted,496.698,39.734859738505925,69.58189129904947,8.971893760232854,33.779457917261055,6.640123881624226,1.4681291202546032,5.812827586206897,0.9556825015033074,5.402144772117963,1.0475625893187954,3.060807278050821,0.43780127507386096,3.0736906211936663,0.6155651605769714,30.94614812321754,14.277748129241836
Grande-Vallée,,Canada,Shale-hosted,1040.0,,,,,,,,,,,,,,,,
Muluozhai,Sichuan,China,Carbonatite,0.45,,,,,,,,,,,,,,,,
Weishan,shandong,China,Carbonatite,1856.25,,,,,,,,,,,,,,,,
Maoniuping,Sichuan,China,Carbonatite,1.2,,,,,,,,,,,,,,,,
Miaoya,Hubei,China,Carbonatite,71.5,,,,,,,,,,,,,,,,
Dalucao,Sichuan,China,Carbonatite,0.76,,,,,,,,,,,,,,,,
Bayan Obo,Inner Mongolia,China,Carbonatite,1540.0,12628.336264062658,26012.380272813825,2784.7223677278516,7942.882899656626,661.4186990878004,206.7224949102586,309.9007058390618,45.21010581947641,140.88031855774085,,31.205109645943313,,91.39799691340937,22.88023974277187,157.49384305577905,
Southern Seven Provinces ,"Jiangxi, Fujian, Yunnan, Guangdong",China,Laterite / Soil / Clay,,,,,,,,,,,,,,,,,
Zhijin,Guizhou,China,Shale-hosted,4400.0,,,,,,,,,,,,,,,,
Bayan Obo (Tailings Dam),Inner Mongolia,China,Tailings,1200.0,,,,,,,,,,,,,,,,
Katajakangas,,Finland,Alkaline ,0.46,,,,,,,,,,,,,,,,
Korsnäs,,Finland,Carbonatite ,0.86,,,,,,,,,,,,,,,,
Hangaslampi Co,,Finland,Hydrothermal Undifferentiated,0.6,,,,,,,,,,,,,,,,
Mabounie,,Gabon,Carbonatite,380.0,,,,,,,,,,,,,,,,
Storkwitz,,Germany,Carbonatite,4.4,,,,,,,,,,,,,,,,
Karrat,,Greenland,Alkaline,26.3,2245.0,5036.9,470.1,2003.6,358.2,106.0,270.1,38.8,180.8,28.2,69.1,7.9,42.6,5.5,721.5,
Motzfeldt (Aries),,Greenland,Alkaline,340.0,529.854975139648,859.0588837436023,88.86447152992542,278.6376604850214,49.32663454920854,40.41673107524438,40.60303448275862,40.65994642759526,4.530831099195711,9.078875774096229,4.547485098818363,4.553133260768155,25.11644336175396,4.5727697642860745,243.6320160133208,
Tanbreez,,Greenland,Alkaline,4300.0,1157.0,2145.0000000000005,208.00000000000003,780.0,149.5,19.5,162.5,32.5,188.50000000000003,39.0,156.0,19.5,130.0,19.5,1235.0000000000002,
Kvanefjeld,Kujalleq,Greenland,Alkaline,619.0,,,,,,,,,,,,,,,680.3427984340956,
Sørensen,,Greenland,Alkaline,242.0,,,,,,,,,,,,,,,704.7532460630968,
Zone 3,,Greenland,Alkaline,95.0,,,,,,,,,,,,,,,764.5982144438738,
Sarfartoq ST-1 Zone,Qaasuitsup,Greenland,Carbonatite,12.421,2552.9233398970764,6010.888048086624,704.7676202155016,2328.0511386025305,231.8707540395839,51.57478215721862,126.5851651679997,10.203268185242877,24.822092784575464,,,,,,46.97108198296432,
Manavalakuruchi,Tamilnadu/ Kanyakumari,India,Alluvial/Placer,103.7,,,,,,,,,,,,,,,,
Amma Dongar(Ambadungar),,India,Carbonatite,11.6,,,,,,,,,,,,,,,,
Andhra Pradesh,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
Bihar,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
Kerala,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
Odisha,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
Tamil Nadu,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
West Bengal,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
