deposit_no,deposit_name,country,longdd,latdd,tonnage,tonnage_unit,category,commodity,grade,grade_unit,cutoff_grade,cutoff_grade_unit,year
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Ag,25.0,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Sn,280.0,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Au,0.31,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Pb,0.42,percent,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Cu,0.29,percent,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Zn,2.26,percent,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,In,12.0,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Ag,25.0,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Sn,280.0,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Au,0.31,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Pb,0.42,percent,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Cu,0.29,percent,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Zn,7.66,percent,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,In,37.0,ppm,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Au,0.46,ppm,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Ag,91.0,ppm,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Sn,380.0,ppm,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Pb,3.01,percent,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Cu,0.46,percent,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Zn,7.66,percent,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,In,37.0,ppm,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Au,0.46,ppm,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Ag,91.0,ppm,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Sn,380.0,ppm,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Pb,3.01,percent,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Cu,0.46,percent,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Zn,7.66,percent,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,In,37.0,ppm,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Au,0.46,ppm,,,2003
202,Brunswick No. 12,Canada,-65.8913888888889,47.4758333333333,229.76,million metric tons,,Ag,91.0,ppm,,,2003
