Deposit,Country,Primary Deposit Type,Secondary Deposit Type,,Company,Source,Mt ore,%Zn
Bamnai Kalan,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,16.3,4
Baroi,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),7,1.71
Basantgarh,India,VMS,,NC,Indo Gold,Website (2014-10-26),3.5,1.3
Bethumni,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.23,1
Bhilwara,India,Sediment-hosted Pb-Zn,Sedex,C,unknown,IMYB 2013,7.1,1.4
Danva,India,VMS,,NC,Indo Gold,Website (2014-10-26),0.3,6.4
Deri,India,Sediment-hosted Pb-Zn,Sedex,NC,Indo Gold,Website (2014-10-26),1,7.3
Devpura,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),17.49,1.84
Ganeshpura,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.77,
Gorubathan,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),2.79,4.23
Kalabar,India,VMS,,NC,Indo Gold,Website (2014-10-26),1,6.7
Kankariya,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),9.01,3.22
Kayad,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,7.7,10.6
Kolari,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),8.2,6.8
Madarpura,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),6.6,5.51
Mochia,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,27,3.79
Mokanpura North,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,40,2.4
Paduna North Block,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),3.14,3.25
Pipela,India,VMS,,NC,Indo Gold,Website (2014-10-26),0.6,1.8
Rajpura Dariba,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,54.2,6.9
Rampura Agucha,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,109.4,12.8
Rangpo,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.56,2.6
Rewara,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),1.2,0.4
Saladipura,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),115,1
Samodi,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),3.69,1.85
Sargipali,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),2,
Sawar,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.9,1.45
Sindesar Khurd,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,99.1,4.3
South Dedwas,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),18.38,1.3
Tikhi,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),1.47,2.59
Tiranga,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),1.15,1.13
Zawar,India,Sediment-hosted Pb-Zn,Sedex,C,Hindustan Zinc / Vedanta,Ann Rep 2013-14,78.5,4.8
Dairi-Anjing Hitam,Indonesia,Sediment-hosted Pb-Zn,Sedex,C,"Bumi Resources, PT Antam",Ann Rep 2013,8.11,14.6
Dairi-Base Camp,Indonesia,Sediment-hosted Pb-Zn,Sedex,C,"Bumi Resources, PT Antam",Ann Rep 2013,0.83,5
Dairi-Lae Jahe,Indonesia,Sediment-hosted Pb-Zn,Sedex,C,"Bumi Resources, PT Antam",Ann Rep 2013,16.18,8.2
Atlantis II,International,VMS,Seafloor Massive sulfide,NC,Diamond Fields International,Website (2016-07-14),89.5,2.06
Angouran,Iran,Sediment-hosted Pb-Zn,Sedex,NC,IMIDRO,Daliran et al 2013,22.23,30.3
Anjireh-Vejin,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),1.16,5.59
Emarat,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ehya et al 2010,10,6
Heyder Abad,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Bazargani-Guilani et al 2011,0.12,1
Irankuh,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),10,7.4
Kuh-e-Surmeh,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),0.9,12.1
Kushk,Iran,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),4,10
Mehdiabad,Iran,Sediment-hosted Pb-Zn,Sedex/MVT?,C,Mawarid Mining,Ann Rep 2012 (UCL Res.),394,4.2
Nakhlak,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Jazi et al (2016),7,0.38
Reza Barak,Iran,Sediment-hosted Pb-Zn,MVT,NC,unknown,Bazargani-Guilani et al 2011,0.15,2.5
Allenwood West,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Tech Rep 2010 (Rathdowney Res.),10.1,1.6
Ballinalack,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,7.83,6.8
Courtbrown,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,1,3.5
Garrycam,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,1.35,2.67
Harberton Bridge,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,3.7,8.8
Keel,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,1.85,7.71
Lisheen,Ireland,Sediment-hosted Pb-Zn,MVT,C,Vedanta,Ann Rep 2013-14,3.8,12.56
Moyvoughly,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,0.13,5.3
Oldcastle,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Tech Rep 2010 (Rathdowney Res.),3,4.3
Pallas Green,Ireland,Sediment-hosted Pb-Zn,MVT,C,Glencore Xstrata,Reserves-Resources 2013,42,7
Rickardstown,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,3.5,2.2
Silvermines,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,6.89,7.7
Tara (Navan),Ireland,Sediment-hosted Pb-Zn,MVT,C,Boliden,Ann Rep 2013,26.4,6.8
Tatestown,Ireland,Sediment-hosted Pb-Zn,MVT,NC,unknown,Ireland Gov't Top 55 brochure,3.6,4.6
Alaigyr (Alaigir),Kazakhstan,VMS?,,NC,"Tau-Ken Samruk, Radington Industrial Consulting",ILZSG database (2016-07-12),50,
Central Region (formerly Karaganda),Kazakhstan,Porphyry and VMS deposits,,C,Kazakhmys (now KAZ Minerals),Ann Rep 2013,"5,396.80",0.01
Chashinskoye Tailings,Kazakhstan,VMS? Tailings,,TC,Glencore Xstrata / KazZinc,Reserves-Resources 2013,88,0.43
Dolinnoe,Kazakhstan,VMS?,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,3.01,2.76
East Region,Kazakhstan,VMS?,,C,Kazakhmys (now KAZ Minerals),Ann Rep 2013,91.81,3.64
Maleevsky,Kazakhstan,VMS,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,22.6,7.26
Novo-Leninogorskoye,Kazakhstan,VMS,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,40,4
Obruchevskoe,Kazakhstan,VMS?,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,5.16,8.5
Ridder-Sokolny,Kazakhstan,VMS,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,41.4,1.32
Shaimerden Stockpile,Kazakhstan,VMS?,Non-sulfide Zinc,SC,Glencore Xstrata / KazZinc,Reserves-Resources 2013,2,22
Shalkiya,Kazakhstan,Sediment-hosted Pb-Zn,Sedex,C,ShalkiyaZinc,Website (2014-10-26; translated),274,3.1
Shubinsky,Kazakhstan,VMS,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,3.85,2.15
Staroye Tailings,Kazakhstan,VMS? Tailings,,TC,Glencore Xstrata / KazZinc,Reserves-Resources 2013,6.7,0.64
Talap,Kazakhstan,Sediment-hosted Pb-Zn,Sedex,C,ShalkiyaZinc,Website (2014-10-26; translated),11.14,4.71
Tishinksy,Kazakhstan,VMS,,C,Glencore Xstrata / KazZinc,Reserves-Resources 2013,17.8,4.48
Tishinsky Tailings,Kazakhstan,VMS Tailings,,TC,Glencore Xstrata / KazZinc,Ann Rep 2012 (note: not reported in 2013),1.15,2.26
Zhairem,Kazakhstan,Sediment-hosted Pb-Zn,,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,20,5
Bumbo,Kenya,Sediment-hosted Pb-Zn,Sedex,C,"African Barrick Gold-51%, Lonmin-49%",Ann Rep 2012 (Aviva Corp),1.58,4.5
Boz Emchek,Kyrgyzstan,Skarn,,NC,unknown,data Kyrgyz Investment Group,17.84,4.3
Mironovskoye,Kyrgyzstan,Skarn?,,C,Chaarat Gold Holdings,Website (2014-10-26),1.582,
Kasi,Laos,Sediment-hosted Pb-Zn?,MVT?,C,Padaeng Industries,Ann Rep 2013,0.9,9
Lamphun,Laos,Sediment-hosted Pb-Zn,MVT,C,Padaeng Industries,Ann Rep 2013,2.1,7.2
Angangueo,Mexico,Epithermal,High to intermediate sulfidation,C,Southern Copper Corp (Grupo Mexico),Form 10K 2013,6.64,2.63
Bahuerachi,Mexico,Porphyry-Skarn,,C,Jinchuan,Tech Rep (2007-11; Tyler Res.),604.69,0.53
Bilbao,Mexico,Skarn,,C,Xtierra,Tech Rep (2011-05),11.05,2.1
Bismark,Mexico,Skarn,,C,Peñoles Group,Ann Rep 2013,6.14,6.11
Boleo,Mexico,Skarn-Manto,,C,"Baja Mining, KORES",Tech Rep 2010-03,424.53,0.66
Bolivar Group,Mexico,Skarn,,C,Sierra Metals (formerly Dia Bras Expl'n),Tech Rep (2013-05),34.66,0.75
Buenavista Zinc,Mexico,Skarn?,,C,Grupo Mexico / SCC,Form 10K 2013,36,3.3
Camino Rojo,Mexico,Skarn,,C,Goldcorp,Ann Rep 2013,363.98,0.26
Campo Morado Group,Mexico,VMS,,C,Nyrstar,Reserves-Resources 2013,19.1,3.69
Capire-Aurora 1,Mexico,VMS,,C,Impact Silver Corp,Tech Rep (2011-01),5.283,0.87
Cerro Prieto,Mexico,Epithermal,overprints mesothermal mineralisation,C,Goldgroup Mining,Tech Rep (2013-06),23.16,0.65
Chalchihuites,Mexico,Epithermal,,C,Grupo Mexico / SCC,Form 10K 2013,16,3.08
Cieneguita,Mexico,Epithermal,,C,Pan American Goldfields,Tech Rep (2013-11),57.96,0.24
Cinco de Mayo (Upper Manto),Mexico,Skarn,,C,MAG Silver Corp,Tech Rep (2012-11),14.93,5.77
Cordero,Mexico,Porphyry,,C,Levon Resources,Tech Rep (2014-10),940.62,0.464
Cozamin Group,Mexico,Epithermal-Mesothermal,Intermediate sulfidation?,C,Capstone Mining,Ann Info Form 2013,17.06,1.35
Cusi Group,Mexico,Epithermal,,C,Sierra Metals (formerly Dia Bras Expl'n),Tech Rep (2013-08),4.617,0.18
Del Toro,Mexico,Skarn,,C,First Majestic Silver Corp,Website (2014-10-26),17.393,3.6
El Tecolote (Reyna del Cobre) Tailings,Mexico,Skarn Tailings,,TNC,Azure Minerals,Website (2015-02-24),1,2.3
Francisco I Madero,Mexico,Skarn,,C,Peñoles Group,Ann Rep 2013,47.23,2.17
Fresnillo-San Julián,Mexico,Epithermal,Intermediate sulfidation,C,Fresnillo,Ann Rep 2013,21.3,1.42
La Arista-El Aguila,Mexico,Epithermal,,C,Gold Resource Corp,Tech Rep (2012-07),4.48,4.1
La Colorada,Mexico,Epithermal,Low sulfidation,C,Pan American Silver Corp.,Ann Info Form 2013,11.5,2.05
La Encantada,Mexico,Sediment-hosted Pb-Zn,MVT,C,First Majestic Silver Corp,Website (2014-10-26),9.588,2.4
La Encantada Tailings,Mexico,Sediment-hosted Pb-Zn Tailings,MVT,TC,First Majestic Silver Corp,Website (2014-10-26),5.305,0.2
La Frazada,Mexico,Epithermal,,C,First Majestic Silver Corp,Tech Rep (2009-01),1.12,2.53
La Negra,Mexico,Skarn,,C,Aurcana Corp,Tech Rep (2013-05),40.3,2.29
La Parilla,Mexico,Skarn,,C,First Majestic Silver Corp,Website (2014-10-26),19.156,1.4
Los Gatos,Mexico,Epithermal,,C,Sunshine Silver Mines,Tech Rep (2012-12),25.49,2.7
Metates,Mexico,Skarn,,C,Chesapeake Gold Corp,Tech Rep (2013-11),1.247,0.16
Miguel Auza,Mexico,Epithermal,High and low sulphidation,NC,Excellon Resources,ILZSG database (2016-07-12),2,2.3
Minera Ciénega,Mexico,Epithermal,Low sulfidation,C,Fresnillo,Ann Rep 2013,31.75,0.95
Minera Fresnillo (underground),Mexico,Epithermal,Low sulfidation,C,Fresnillo,Ann Rep 2013,69.49,2.82
Minera Juanicipio,Mexico,Epithermal,,C,"Fresnillo-56%, MAG Silver Corp-44%",Ann Rep 2013 (Fresnillo),8.02,3.49
Minera Parreña-Guachichil,Mexico,Epithermal?,Low sulfidation?,C,Fresnillo,Ann Rep 2013,44.25,0.17
Minera Parreña-Leones,Mexico,Epithermal?,Low sulfidation?,C,Fresnillo,Ann Rep 2013,7.05,1.27
Minera Parreña-Lucerito,Mexico,Epithermal?,Low sulfidation?,C,Fresnillo,Ann Rep 2013,162.72,0.41
Minera Saucito,Mexico,Epithermal,Intermediate sulfidation,C,Fresnillo,Ann Rep 2013,44.39,2.39
Naica,Mexico,Skarn,,C,Peñoles Group,Ann Rep 2013,13.54,5.18
Namiquipa,Mexico,Epithermal,Low/Intermediate sulfidation,C,Santana Minerals,Tech Rep (2012-11),7.6,1.54
Nuestra Señora,Mexico,Skarn,,C,Scorpio Mining Corp,Tech Rep (2013-05),4.45,1.6
Peñasquito (mill),Mexico,Skarn,,C,Goldcorp,Ann Rep 2013,851.37,0.83
Pitarrilla,Mexico,Epithermal,Intermediate sulfidation,C,Silver Standard,Ann Info Form 2013,282.4,0.7
Platosa,Mexico,Manto/Skarn/Epithermal?,,C,Excellon Resources,Tech Rep (2011-11),0.71,10.66
Plomosas (Rosario-San Juan),Mexico,Sediment-hosted Pb-Zn,MVT,NC,First Majestic Silver Corp,Website (2014-10-26),0.896,3.4
Rey de Plata,Mexico,VMS,,C,Industrias Penoles,Ann Rep 2013; ILZSG database (2016-07-12),25.2,8.3
Rosario,Mexico,Epithermal,Low sulfidation?,C,Santacruz Silver Mining,Tech Rep (2012-12),1.66,2.21
Sabinas,Mexico,Sediment-hosted Pb-Zn,MVT,C,Peñoles Group,Ann Rep 2013,13.16,2.06
San Agustín,Mexico,Skarn,,C,Argonaut Gold,ResV-ResC 2012 (Silver Std),212.2,0.49
San Felipe (Hochschild),Mexico,Epithermal,,C,Hochschild Mining,Ann Rep 2013,4.006,6.49
San Felipe (Santacruz),Mexico,Skarn,,C,Santacruz Silver Mining,Tech Rep (2012-12),8.94,4.01
San José,Mexico,Epithermal,Low sulfidation,C,Arian Silver Corp,Tech Rep (2013-05),32.5,0.78
San José de Gracia,Mexico,Epithermal,Low sulfidation,C,Goldgroup Mining,Tech Rep (2011-09),15.06,0.18
San Marcial,Mexico,Epithermal,Low sulfidation,C,Silver Standard,Ann Info Form 2013,2.3,0.66
San Martin (Pb-Zn-Ag-Au only),Mexico,Skarn,,C,First Majestic Silver Corp,Website (2014-10-26),1.735,1.56
San Nicolas,Mexico,VMS,,C,"Teck-79%, Goldcorp-21%",Ann Rep 2013 (Goldcorp),21.54,1.6
San Rafael,Mexico,Skarn,,C,Scorpio Mining Corp,Tech Rep (2013-05),23.24,1.36
San Sebastian,Mexico,Epithermal,Low/Intermediate sulfidation,C,Hecla Mining,Website (2014-10-26),5.029,0.9
Sierra Mojada,Mexico,Sediment-hosted Pb-Zn,MVT,C,Silver Bull Resources,Tech (2013-12),94.5,1.27
SCC-IMMSA Group (Charcas-Santa Barbara-San Martin-Santa Eulalia-Taxco),Mexico,Epithermal-Skarn,Skarn may be dominant?,C,Grupo Mexico / SCC,Form 10K 2013,48.77,2.88
Terrazas,Mexico,IOCG?,,C,Constellation Cu Corp (bankrupt),Ann Rep 2007,90.64,1.35
Tizapa,Mexico,VMS,,C,Peñoles Group,Ann Rep 2013,10.87,5.38
Topia,Mexico,Epithermal,Low sulfidation,C,Great Panther Silver,Ann Info Form 2013,0.429,4
Velardeña (Peñoles),Mexico,Skarn,,C,Peñoles Group,Ann Rep 2013,29.94,4.21
Velardeña-Chicago (GM),Mexico,Skarn,,C,Golden Minerals,Form 10K 2013,2.14,1.25
Brskovo,Montenegro,Sediment-hosted Pb-Zn,Sedex,C,Balamara Resources,Ann Rep 2013,2.51,3.84
Visnjica,Montenegro,Sediment-hosted Pb-Zn,Sedex,C,Balamara Resources,Ann Rep 2013,1.9,2.98
Zuta Prla,Montenegro,Sediment-hosted Pb-Zn,Sedex,C,Balamara Resources,Ann Rep 2013,4.74,4.06
Boumadine,Morocco,Epithermal,Low-sulfidation,NC,Maya Gold & Silver,Tech Rep (2014-04),3.839,3.9
Hajar,Morocco,Sediment-hosted Pb-Zn,MVT,NC,Compagnie Minière des Guemassa,USGS MYB 2010 Morocco,19,7
Tighza,Morocco,Skarn,,C,Compagnie Minière de Touissit,CMT Media (2014-05-29),15.88,1.32
Berg Aukus,Namibia,Sediment-hosted Pb-Zn,MVT,C,China Africa Resources,Tech Rep (2014-04),1.34,14.74
Gergarub,Namibia,Sediment-hosted Pb-Zn,Sedex,NC,"Vedanta, Glencore",ILZSG database (2016-07-12),17.5,8.6
Namib,Namibia,Sediment-hosted Pb-Zn,Sedex,C,North River Resources,Ann Rep 2013,0.92,5.7
Namib Tailings,Namibia,Sediment-hosted Pb-Zn Tailings,,TC,North River Resources,Ann Rep 2013,0.61,2.1
Rosh Pinah,Namibia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,Reserves-Resources 2013,14.62,7.6
Skorpion,Namibia,VMS,Non-sulfide Zinc,C,Vedanta,Ann Rep 2013-14,7.1,9.67
Tsongoari,Namibia,Sediment-hosted Pb-Zn,Sedex?,C,unknown,Gauert (2005),5.8,0.8
Tsumeb Tailings,Namibia,Sediment-hosted Pb-Zn Tailings,MVT?,TC,Weatherly International,Tech Rep (2014-04),12,0.63
Ganesh Himal-Lari I,Nepal,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Baharani et al 2008,1.3,13.35
Ganesh Himal-Suple,Nepal,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Baharani et al 2008,1.1,16.25
Hysean,North Korea,Porphyry,,NC,DPRK Government,Kyung-soo (2011),160,3.6
Goemdok (Gumdock),North Korea,Sediment-hosted Pb-Zn,MVT,NC,DPRK Government,Kyung-soo (2011),266,4.21
Duddar,Pakistan,Sediment-hosted Pb-Zn,Sedex,C,MCC JV,Tech Rep (2009-07),14.48,9.9
Gunga (Khuzdar),Pakistan,Sediment-hosted Pb-Zn,Sedex,NC,unknown,USGS OFR 1297,9.9,5.4
Accha (AZOD),Peru,Skarn,Non-sulfide Zinc,C,Zincore Metals,Tech Rep (2013-08),8.3,6.19
Alpamarca,Peru,Manto-Cu,IOCG?,C,Volcan Compania Minera,Ann Rep 2013,11.01,1.39
Anamaray,Peru,Skarn,,C,Buenaventura,Ann Rep 2011,0.17,4.32
AntaKori-Sinchao,Peru,Epithermal,High sulfidation,C,Southern Legacy Minerals,Tech Rep (2012-08),519.54,0.19
Antamina,Peru,Skarn,Porphyry-related,C,BHP Billiton / Glencore Xstrata / Teck,Glencore Xstrata Reserves-Resources 2013,"2,121",0.65
Ariana,Peru,Skarn,,C,Southern Peaks Mining,Website (2014-12-12),10.985,1.79
Atacocha,Peru,Skarn,,C,Compania Minera Milpo,Ann Rep 2013,18.093,3.92
Ayawilca,Peru,Skarn,,C,Tinka Resources,Tech Rep (2015-03),13.3,5.9
Bongará-Florida Canyon,Peru,Sediment-hosted Pb-Zn,MVT,C,"Solitario Expl. & Royalty Corp., Votorantim Metais",Tech Rep (2014-06),11.85,11.32
Caylloma,Peru,Epithermal,Intermediate sulfidation,C,Fortuna Silver Mines,Ann Rep 2013,11.26,2.68
Cerro de Pasco,Peru,Epithermal,High to intermediate-low sulfidation,C,Volcan Compania Minera,Ann Rep 2013,203.1,2.55
Cerro Lindo,Peru,VMS,,C,Compania Minera Milpo,Ann Rep 2013,85.107,2.57
Chungar,Peru,Skarn,,C,Volcan Compania Minera,Ann Rep 2013,18.27,6.62
Contonga,Peru,Skarn,,C,Nyrstar,Reserves-Resources 2013,3.11,3.96
Corani,Peru,Epithermal,Low-to-intermediate sulfidation,C,Bear Creek Mining Corp,Tech Rep (2011-12),340.38,0.38
Coricancha,Peru,Skarn,,C,Nyrstar,Reserves-Resources 2012 minus 2013 prod'n,5.72,3.01
El Brocal (Colquijirca),Peru,Skarn,,C,El Brocal / Buenaventura,Form 20F 2013 (B),45.93,2.53
El Porvenir,Peru,Skarn,,C,Compania Minera Milpo,Ann Rep 2013,40.973,4.64
Hilarion,Peru,Skarn,,C,Compania Minera Milpo,Ann Rep 2013,60.456,4.38
Huampar,Peru,Epithermal-Mesothermal,,NC,Trevali Mining Corp.,Website (2013-10-20),0.874,3.63
Huaron,Peru,Epithermal,Low sulfidation?,C,Pan American Silver Corp.,Ann Info Form 2013,22.6,2.87
Invicta,Peru,Epithermal,Intermediate sulfidation,C,Lupaka Gold,Ann Info Form 2013,11.18,0.26
Iscaycruz,Peru,Skarn,,C,Glencore Xstrata,Reserves-Resources 2013,16.73,5.1
Islay,Peru,Epithermal?,Low sulfidation?,C,Volcan Compania Minera,Ann Rep 2013,0.3,1.12
Julcani,Peru,Epithermal,High to intermediate sulfidation,C,Buenaventura,Ann Rep 2013,0.37,
La Granja,Peru,Porphyry,Cu-Mo,C,Rio Tinto,Ann Rep's 2010 & 2013,"3,600",0.09
Mallay,Peru,Skarn,,C,Buenaventura,Ann Rep 2013,0.12,8.47
Morococha,Peru,Epithermal,?low sulfidation?,C,Pan American Silver Corp.,Ann Info Form 2013,15.3,4.58
Oyama,Peru,Epithermal?,Low sulfidation?,C,Volcan Compania Minera,Ann Rep 2013,6.79,0.23
Palma,Peru,Sediment-hosted Pb-Zn,Sedex?,C,Volcan Compania Minera,Ann Rep 2013,8,4.42
Pilarica (Fresnillo Peru),Peru,Epithermal,Low sulfidation,C,Fresnillo,Ann Rep 2013,10.83,0.5
Pucarrajo,Peru,Sediment-hosted Pb-Zn,Sedex?,C,Nyrstar,Reserves-Resources 2012 (2007 data),0.79,8.01
Quiruvilca,Peru,Epithermal,Low sulfidation,C,Southern Peaks Mining,Website (2014-12-12),9.164,2.39
Recuperada,Peru,Epithermal,,C,Buenaventura,Ann Rep 2013,0.06,6.49
Rio Pallanga,Peru,Epithermal,Low sulfidation,C,Volcan Compania Minera,Ann Rep 2013,1.49,1.16
San Gregorio,Peru,Epithermal,High sulfidation,C,El Brocal / Buenaventura,Ann Rep 2013 (EB),79.934,5.22
San Sebastián,Peru,Epithermal,Low sulfidation,C,Volcan Compania Minera,Ann Rep 2013,0.91,6.06
Santander (Magistral-Puajanca),Peru,Skarn,,C,Trevali Mining Corp.,Tech Rep (2013-11),31.06,3.32
Santander Tailings,Peru,Skarn Tailings,,TC,Trevali Mining Corp.,Tech Rep (2013-11),4.19,1.93
Tajo Norte-La Llave,Peru,Epithermal,Low sulfidation,C,El Brocal / Buenaventura,Ann Rep 2013 (EB),45.93,2.53
Tambomayo,Peru,Epithermal,Low sulfidation,C,Buenaventura,Ann Rep 2013,1.6,3
"Uchucchacua (Jancapata, Yumpag)",Peru,Skarn,,C,Buenaventura,Ann Rep 2013,3.84,1.4
Vinchos,Peru,Epithermal,High sulfidation?,C,Volcan Compania Minera,Ann Rep 2013,1.35,3.16
Yanque,Peru,Skarn,Non-sulfide Zinc,C,Zincore Metals,Tech Rep (2013-08),27.66,2.36
Yauli,Peru,Skarn,,C,Volcan Compania Minera,Ann Rep 2013,71.75,4.49
Yauliyacu,Peru,Epithermal?,,C,Glencore Xstrata,Reserves-Resources 2013,23.54,3.8
Yauricocha,Peru,Skarn,,C,Sierra Metals (formerly Dia Bras Expl'n),Tech Rep (2013-11),6.509,3.33
Zoraida,Peru,Epithermal?,Low sulfidation?,C,Volcan Compania Minera,Ann Rep 2013,5.64,0.98
Canatuan,Philippines,VMS,,C,TVI Pacific,Website (2014-01-12),0.995,0.73
Manat-Magas,Philippines,Epithermal,,C,"Alsons Grou-75%, Indophil-25%",Ann Rep 2013 (Indophil),2.7,1.58
Ungay-Malobago (Rapu Rapu),Philippines,VMS,,C,KMP Resources Inc. (?) (formerly Lafayette Mining),Ann Rep 2007 (Lafayette),5.14,2.38
Nakru,PNG,VMS,,C,Coppermoly,Media (2012-07-24),38.4,0.066
Solwara 1,PNG,VMS,Seafloor Massive sulfide,C,"Nautilus Minerals, PNG Gov.",Ann Rep 2013,2.57,0.7
Solwara 12,PNG,VMS,Seafloor Massive sulfide,C,"Nautilus Minerals, PNG Gov.",Ann Rep 2013,0.23,3.6
"Olza (Rokitno, Zawiercie, Chechlo)",Poland,Sediment-hosted Pb-Zn,MVT,C,Rathdowney Resources,Tech Rep (2012-12),21.2,5.88
Aljustrel,Portugal,VMS,,NC,Almina-Minas do Alentejo,ILZSG database (2016-07-12),13,5.6
Lagoa Salgada,Portugal,VMS,,C,Portex Minerals,Tech Rep (2012-01),8.41,2.63
Neves-Corvo,Portugal,VMS,,C,Lundin Mining,Reserves-Resources 2013,193.32,3.8
Cavnic,Romania,Epithermal,Low sulfidation,NC,unknown,Grancea et al 2002,20,2
Suior,Romania,Epithermal,Low sulfidation,NC,unknown,Kouzmanov et al 2005,9.3,2.3
50 Years October,Russia,VMS,,NC,unknown,"Herrington et al, 2005",46,0.47
Alexandrinka,Russia,VMS,,NC,unknown,"Herrington et al, 2005",10,5.5
Bakr Tau,Russia,VMS,,NC,unknown,"Herrington et al, 2005",1.3,4.66
Balta Tau,Russia,VMS,,NC,unknown,"Herrington et al, 2005",3.5,5.1
Berezitovy,Russia,Orogenic Au?,,C,Nordgold,"Ann Rep 2013, ILZSG (2016-07-12)",27.03,0.68
Blyava,Russia,VMS,,NC,unknown,"Herrington et al, 2005",10,5
Buribai,Russia,VMS,,NC,unknown,"Herrington et al, 2005",30,1.2
Degtyarskoe,Russia,VMS,,NC,unknown,"Herrington et al, 2005",130,1.5
Gai,Russia,VMS,,NC,unknown,"Herrington et al, 2005",380,0.74
Goltsovoye,Russia,Epithermal,,C,Polymetal RU,Ann Rep 2012,0.75,
Gorevskoe,Russia,Sediment-hosted Pb-Zn,Sedex,NC,unknown,"Leach et al, 2005",300,1.4
Goroblagodat,Russia,Skarn,,NC,unknown,"Herrington et al, 2005",160,0.08
Ishkinino,Russia,VMS,,NC,unknown,"Herrington et al, 2005",1,0.2
Kholodninskoe,Russia,Sediment-hosted Pb-Zn,Sedex,NC,MBC Corp,Website (2015-04-24),519,4.08
Khudesskoye,Russia,Orogenic Au?,,NC,Urals Mining & Metallurgical Co. (UMMC),ILZSG database (2016-03-02),31,0.9
