Country,Project,Lat,Long,Mine,Source,Ni basis,Co basis,Mineral Deposit Type Primary,Mineral Deposit Type Secondary,Mineral Deposit Type Other Notes,Category,Mt,%Ni,%Co
Zimbabwe,Bindura (Trojan-Shangani-Hunter's Road),,,Asa Resource Group,AR 2012,C,,Magmatic Sulphide,Archean Komatiite,,Proven,1.72,1.07,
Australia,Binti Binti,,,Pioneer Resources,WA MINEDEX,C,C,Laterite,Clay silicate-Oxide,Clay silicate-oxide,Inferred,2.8,0.91,0.09
USA,Birch Lake,,,Antofagasta (through Twin Metals),AR 2018,C,,Magmatic Sulphide,Small M-UM Intrusion-related,Duluth Complex - Keweenawan LIP,Indicated,90.4,0.16,
USA,Birch Lake,,,Antofagasta (through Twin Metals),AR 2018,C,,Magmatic Sulphide,Small M-UM Intrusion-related,Duluth Complex - Keweenawan LIP,Inferred,217.0,0.15,
Australia,Black Hills-North Monger,,,"Western Resources, Zetek Resources",WA MINEDEX,C,C,Laterite,Oxide,Oxide,Inferred,30.0,0.64,0.03
Australia,Black Swan-Silver Swan,,,Poseidon Nickel,QR 2018-12,C,C,Magmatic Sulphide,Archean Komatiite,,Indicated,9.652,0.7258474927476172,0.010705668698923336
Australia,Black Swan-Silver Swan,,,Poseidon Nickel,QR 2018-12,C,C,Magmatic Sulphide,Archean Komatiite,,Inferred,21.184,0.5735857250755287,0.010705668698923336
Australia,Black Swan-Silver Swan,,,Poseidon Nickel,QR 2018-12,C,C,Magmatic Sulphide,Archean Komatiite,,Probable,3.427,0.72,0.11
Canada,Blue Lake,,,unknown,Tech Rep (2013-03),C,,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,4.374917,0.52,
South Africa,Blue Ridge,,,"Sibanya-Stillwater, Imbani Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Measured,29.6,0.11240231217618901,
South Africa,Blue Ridge,,,"Sibanya-Stillwater, Imbani Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,8.2,0.11240231217618901,
South Africa,Blue Ridge,,,"Sibanya-Stillwater, Imbani Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,8.4,0.11240231217618901,
USA,Bohemia Basin (Basin-Takanis-Flapjack),,,unknown,Szumigala et al (2011),NC,NC,Magmatic Sulphide,Small M-UM Intrusion-related,Wrangellia LIP-related,Inferred,19.9584,0.42,0.02
Zimbabwe,Bokai North/South (Todal),,,ERG,media (9 July 2009),C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,40.17,0.22,
Zimbabwe,Bokai North/South (Todal),,,ERG,media (9 July 2009),C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,41.61,0.21,
South Africa,Bokoni-Ga Phasha,,,"Atlatsa Resource, Anglo Am Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Measured,291.42857142857144,0.17955882352941177,
South Africa,Bokoni-Ga Phasha,,,"Atlatsa Resource, Anglo Am Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Indicated,140.0,0.1802332361516035,
South Africa,Bokoni-Ga Phasha,,,"Atlatsa Resource, Anglo Am Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Inferred,380.40816326530614,0.18622317596566523,
South Africa,Bon Accord-Segalla,,,unknown,Brochure (2010-01),C,,Magmatic Sulphide,Archean Komatiite,,Inferred,20.3,0.40125615763546796,
South Africa,Booysendal North / South-Everest,,,"Northam Pt, Mvelaphanda Res",AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Measured,91.08,0.16629018445322793,
South Africa,Booysendal North / South-Everest,,,"Northam Pt, Mvelaphanda Res",AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Indicated,175.98999999999998,0.1621258594238309,
South Africa,Booysendal North / South-Everest,,,"Northam Pt, Mvelaphanda Res",AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Inferred,455.51,0.15235641369014952,
South Africa,Booysendal North / South-Everest,,,"Northam Pt, Mvelaphanda Res",AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Proven,144.51999999999998,0.10517264046498756,
South Africa,Booysendal North / South-Everest,,,"Northam Pt, Mvelaphanda Res",AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Probable,13.7,0.08232554744525548,
Philippines,Botolan,,,NiHAO Mineral Resources Int'l,AR 2010,C,C,Laterite,Hydrous Mg silicate-oxide,,Indicated,4.585851,1.05,0.04
Philippines,Botolan,,,NiHAO Mineral Resources Int'l,AR 2010,C,C,Laterite,Hydrous Mg silicate-oxide,,Inferred,1.232187,1.092084196635738,
Morocco,Bou-Azzer,,,CTT (Managem),AR 2018,NC,NC,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,1.82,1,1
Morocco,Bou-Azzer,,,CTT (Managem),AR 2018,NC,NC,Magmatic Sulphide,Small M-UM Intrusion-related,,Probable,0.05999999999999999,1,1
Australia,Brown's-Brown's East,,,China Minmetals,QR 2008-06,C,C,Magmatic Sulphide,Sediment-hosted polymetallic,,Measured,10.1,0.1,0.12
Australia,Brown's-Brown's East,,,China Minmetals,QR 2008-06,C,C,Magmatic Sulphide,Sediment-hosted polymetallic,,Indicated,22.7,0.09,0.11
