Country,Project,Lat,Long,Company,Category,Mt ore,%Ni
Australia,Owendale,,,Platina Resources,Measured,7.8,0.13
Australia,Owendale,,,Platina Resources,Indicated,12.5,0.11
Australia,Owendale,,,Platina Resources,Inferred,15.3,0.08
Australia,Coglia-Mineral Patch Hill,,,White Cliff Minerals,Measured,0,
Australia,Coglia-Mineral Patch Hill,,,White Cliff Minerals,Indicated,0,
Australia,Coglia-Mineral Patch Hill,,,White Cliff Minerals,Inferred,7.5,0.8
Australia,Julia (Goblin / Leprechaun),,,Wingstar Investments (?),Measured,0,
Australia,Julia (Goblin / Leprechaun),,,Wingstar Investments (?),Indicated,4.820,0.80
Australia,Julia (Goblin / Leprechaun),,,Wingstar Investments (?),Inferred,21.108,0.73
Australia,Quicksilver,,,Golden Mile Resources,Measured,0,
Australia,Quicksilver,,,Golden Mile Resources,Indicated,4.4,0.72
Australia,Quicksilver,,,Golden Mile Resources,Inferred,21.9,0.63
Australia,Lawlers,,,Gold Fields,Measured,0,
Australia,Lawlers,,,Gold Fields,Indicated,178,0.64
Australia,Lawlers,,,Gold Fields,Inferred,34,0.6
Australia,Marshall Pool,,,unknown,Measured,137,0.7
Australia,Marshall Pool,,,unknown,Indicated,168,0.68
Australia,Marshall Pool,,,unknown,Inferred,0,
Australia,Camelback Bore East,,,Glencore,Measured,0,
Australia,Camelback Bore East,,,Glencore,Indicated,0,
Australia,Camelback Bore East,,,Glencore,Inferred,4.65,0.98
Australia,Black Hills-North Monger,,,"Western Resources, Zetek Resources",Measured,0,
Australia,Black Hills-North Monger,,,"Western Resources, Zetek Resources",Indicated,0,
Australia,Black Hills-North Monger,,,"Western Resources, Zetek Resources",Inferred,30,0.64
Australia,KNP West-Goongarrie: Goongarrie Hill,,,Ardea Resources,Measured,0,
Australia,KNP West-Goongarrie: Goongarrie Hill,,,Ardea Resources,Indicated,0,
Australia,KNP West-Goongarrie: Goongarrie Hill,,,Ardea Resources,Inferred,53.6,0.60
Australia,KNP West-Siberia: Siberia South,,,Ardea Resources,Measured,0,
Australia,KNP West-Siberia: Siberia South,,,Ardea Resources,Indicated,0,
Australia,KNP West-Siberia: Siberia South,,,Ardea Resources,Inferred,96.5,0.65
Australia,KNP West-Siberia: Siberia North,,,Ardea Resources,Measured,0,
Australia,KNP West-Siberia: Siberia North,,,Ardea Resources,Indicated,10.0,0.64
Australia,KNP West-Siberia: Siberia North,,,Ardea Resources,Inferred,53.3,0.65
Australia,KNP West-Siberia: Black Range,,,Ardea Resources,Measured,0,
Australia,KNP West-Siberia: Black Range,,,Ardea Resources,Indicated,0,
Australia,KNP West-Siberia: Black Range,,,Ardea Resources,Inferred,20.1,0.75
Australia,KNP West-Goongarrie: Ghost Rocks,,,Ardea Resources,Measured,0,
Australia,KNP West-Goongarrie: Ghost Rocks,,,Ardea Resources,Indicated,0,
Australia,KNP West-Goongarrie: Ghost Rocks,,,Ardea Resources,Inferred,47.3,0.66
Australia,Honeymoon Well Group (laterite),,,Norilsk Nickel,Measured,0,
Australia,Honeymoon Well Group (laterite),,,Norilsk Nickel,Indicated,0,
Australia,Honeymoon Well Group (laterite),,,Norilsk Nickel,Inferred,339,0.81
Australia,Nico Young-Ardnaree,,,Jervois Mining,Measured,0,
Australia,Nico Young-Ardnaree,,,Jervois Mining,Indicated,0,
